"","test_data.respon","predRF","predNB","predSVM","predC50"
"315",3,"3","5",5,"3"
"316",1,"1","1",1,"1"
"317",3,"3","2",5,"3"
"318",1,"1","1",5,"1"
"319",1,"1","1",3,"1"
"320",3,"3","1",5,"3"
"321",5,"5","5",5,"5"
"322",2,"2","5",5,"2"
"323",4,"4","4",5,"4"
"324",3,"3","5",5,"3"
"325",5,"5","5",5,"5"
"326",1,"1","1",5,"1"
"327",5,"5","1",5,"5"
"328",1,"1","2",1,"1"
"329",4,"4","4",3,"4"
"330",3,"3","1",5,"3"
"331",3,"3","1",1,"3"
"332",1,"1","5",5,"1"
"333",2,"2","1",5,"2"
"334",1,"1","1",5,"1"
"335",2,"2","1",1,"2"
"336",5,"5","5",5,"5"
"337",2,"2","1",5,"2"
"338",5,"5","1",5,"5"
"339",4,"4","2",4,"4"
"340",2,"2","5",5,"2"
"341",3,"3","5",5,"3"
"342",1,"1","5",5,"1"
"343",5,"5","5",5,"5"
"344",1,"1","1",3,"1"
"345",5,"5","5",5,"5"
"346",4,"4","5",5,"4"
"347",5,"5","5",5,"5"
"348",3,"3","1",3,"3"
"349",3,"3","3",5,"3"
"350",3,"3","1",5,"3"
"351",4,"4","1",5,"4"
"352",3,"3","5",5,"3"
"353",3,"3","5",5,"3"
"354",1,"1","2",5,"1"
"355",3,"3","5",5,"3"
"356",4,"4","1",5,"4"
"357",2,"2","5",5,"2"
"358",5,"4","5",5,"3"
"359",2,"2","1",3,"2"
"360",5,"5","1",4,"5"
"361",3,"3","2",3,"3"
"362",3,"3","1",5,"3"
"363",5,"4","5",5,"5"
"364",2,"2","2",3,"2"
"365",4,"4","3",5,"4"
"366",4,"4","5",5,"4"
"367",4,"4","5",5,"4"
"368",3,"3","2",3,"3"
"369",3,"3","1",5,"3"
"370",5,"5","4",5,"5"
"371",2,"2","5",5,"2"
"372",3,"3","5",5,"3"
"373",1,"1","1",1,"1"
"374",2,"2","1",5,"2"
"375",5,"5","1",5,"5"
"376",2,"2","2",5,"2"
"377",3,"3","5",5,"3"
"378",3,"3","1",5,"3"
"379",5,"5","5",5,"5"
"380",3,"3","1",5,"3"
"381",3,"3","1",5,"1"
"382",1,"1","1",3,"1"
"383",2,"2","1",1,"2"
"384",5,"5","1",5,"5"
"385",2,"2","1",5,"2"
"386",2,"2","4",3,"2"
"387",1,"1","1",5,"1"
"388",3,"3","4",5,"3"
"389",5,"5","5",5,"5"
"390",1,"1","2",3,"1"
"391",1,"1","1",5,"1"
"392",1,"1","1",3,"1"
"393",4,"4","5",5,"4"
"394",5,"5","5",5,"5"
"395",1,"1","1",5,"1"
"396",2,"2","5",5,"2"
"397",4,"4","5",5,"4"
"398",5,"5","1",5,"5"
"399",2,"2","1",2,"2"
"400",4,"4","1",5,"4"
"401",4,"4","1",5,"4"
"402",1,"1","1",3,"1"
"403",2,"2","1",5,"2"
"404",1,"1","1",3,"1"
"405",3,"3","5",5,"3"
"406",5,"5","5",5,"5"
"407",2,"2","5",5,"2"
"408",2,"2","2",2,"2"
"409",5,"5","5",2,"5"
"410",5,"5","5",5,"3"
"411",5,"5","5",5,"5"
"412",4,"4","1",5,"4"
"413",3,"3","1",5,"3"
"414",2,"2","1",1,"2"
"415",5,"5","5",5,"5"
"416",4,"4","4",5,"4"
"417",1,"1","5",5,"1"
"418",5,"5","5",5,"5"
"419",3,"3","2",5,"3"
"420",3,"3","1",5,"3"
"421",2,"2","5",5,"2"
"422",5,"5","5",5,"5"
"423",3,"3","1",5,"3"
"424",4,"4","5",5,"4"
"425",1,"1","1",5,"1"
"426",1,"1","1",3,"1"
"427",5,"5","5",5,"5"
"428",1,"1","1",5,"1"
"429",5,"5","5",5,"5"
"430",5,"5","5",5,"5"
"431",1,"1","1",5,"1"
"432",1,"1","1",3,"1"
"433",4,"4","1",4,"4"
"434",1,"1","1",5,"1"
"435",3,"3","4",3,"3"
"436",3,"3","1",5,"3"
"437",5,"5","4",5,"5"
"438",2,"2","3",5,"2"
"439",2,"2","1",3,"2"
"440",1,"1","1",5,"1"
"441",4,"4","4",5,"4"
"442",2,"2","2",3,"2"
"443",5,"5","1",5,"5"
"444",4,"4","5",5,"4"
"445",4,"4","5",5,"4"
"446",1,"1","1",5,"1"
"447",1,"1","1",5,"1"
"448",2,"2","2",2,"2"
"449",1,"1","1",5,"1"
"450",4,"4","5",5,"4"
"451",5,"3","1",5,"3"
"452",3,"3","2",5,"3"
"453",2,"2","2",1,"2"
"454",5,"5","5",5,"5"
"455",1,"1","1",3,"1"
"456",4,"4","4",5,"4"
"457",4,"4","5",5,"4"
"458",4,"4","5",4,"4"
"459",4,"4","2",5,"4"
"460",2,"2","1",5,"2"
"461",1,"1","1",1,"1"
"462",1,"1","3",3,"1"
"463",5,"5","5",5,"5"
"464",4,"4","5",5,"4"
"465",4,"4","4",5,"4"
"466",1,"1","1",3,"1"
"467",5,"5","5",5,"5"
"468",5,"5","5",5,"5"
"469",4,"4","4",5,"4"
"470",4,"4","4",5,"4"
"471",2,"2","1",5,"2"
"472",4,"4","5",5,"4"
"473",3,"3","5",5,"3"
"474",1,"1","1",3,"1"
"475",4,"4","5",5,"4"
"476",5,"5","5",5,"5"
"477",5,"5","5",5,"5"
"478",5,"5","5",5,"5"
"479",3,"3","4",3,"3"
"480",2,"2","1",5,"2"
"481",3,"3","1",5,"3"
"482",3,"3","5",5,"3"
"483",1,"1","1",3,"1"
"484",5,"5","5",5,"5"
"485",3,"3","3",1,"3"
"486",3,"3","5",5,"3"
"487",4,"4","5",5,"4"
"488",4,"4","1",3,"4"
"489",4,"4","5",5,"4"
"490",2,"2","5",5,"2"
"491",4,"4","1",5,"4"
"492",3,"3","5",5,"3"
"493",4,"4","1",5,"4"
"494",3,"3","1",5,"3"
"495",4,"4","1",1,"4"
"496",3,"3","5",5,"3"
"497",1,"1","1",5,"1"
"498",5,"5","5",5,"5"
"499",5,"5","3",4,"5"
"500",5,"5","5",5,"5"
"501",5,"5","5",5,"5"
"502",1,"1","1",1,"1"
"503",4,"4","1",5,"4"
"504",2,"2","5",5,"2"
"505",4,"4","5",5,"4"
"506",1,"1","1",1,"1"
"507",3,"3","1",5,"3"
"508",2,"2","5",5,"2"
"509",5,"5","5",5,"5"
"510",4,"4","3",1,"4"
"511",5,"5","5",5,"5"
"512",4,"4","2",3,"4"
"513",3,"3","5",5,"3"
"514",1,"1","4",5,"1"
"515",3,"3","5",5,"3"
"516",2,"2","2",5,"2"
"517",5,"5","5",5,"5"
"518",3,"3","5",5,"3"
"519",3,"3","2",5,"3"
"520",2,"2","5",5,"2"
"521",1,"1","1",5,"1"
"522",5,"5","5",5,"5"
"523",4,"4","5",5,"4"
"524",2,"2","5",5,"2"
"525",2,"2","5",5,"2"
"526",1,"1","5",5,"1"
"527",1,"1","1",3,"1"
"528",5,"5","5",5,"5"
"529",1,"1","5",5,"1"
"530",2,"2","1",5,"2"
"531",3,"3","1",5,"3"
"532",4,"4","2",5,"4"
"533",2,"2","1",5,"2"
"534",2,"2","1",3,"2"
"535",1,"1","2",5,"1"
"536",2,"2","1",5,"2"
"537",5,"5","5",5,"5"
"538",2,"2","2",1,"2"
"539",2,"2","1",3,"2"
"540",5,"5","5",5,"5"
"541",4,"4","2",5,"4"
"542",5,"5","5",5,"5"
"543",2,"2","1",5,"2"
"544",1,"1","1",5,"1"
"545",2,"2","5",5,"2"
"546",3,"3","5",1,"3"
"547",1,"1","1",5,"1"
"548",5,"5","5",5,"5"
"549",5,"5","5",5,"5"
"550",1,"1","1",1,"1"
"551",4,"4","5",5,"4"
"552",5,"5","5",5,"5"
"553",2,"2","5",5,"2"
"554",4,"4","2",5,"4"
"555",3,"3","4",5,"3"
"556",5,"5","5",5,"5"
"557",5,"5","5",5,"5"
"558",5,"5","5",5,"5"
"559",3,"3","1",1,"4"
"560",1,"1","5",5,"1"
"561",1,"1","5",5,"1"
"562",3,"3","5",5,"3"
"563",3,"3","1",5,"3"
"564",1,"1","1",3,"1"
"565",4,"4","5",5,"4"
"566",5,"5","4",1,"5"
"567",1,"1","1",5,"1"
"568",2,"2","1",3,"2"
"569",3,"3","5",5,"3"
"570",1,"1","5",5,"1"
"571",3,"3","5",5,"3"
"572",2,"2","2",2,"2"
"573",5,"5","5",5,"5"
"574",3,"3","4",3,"3"
"575",2,"2","1",5,"2"
"576",4,"4","5",5,"4"
"577",2,"2","4",5,"2"
"578",3,"3","5",5,"3"
"579",5,"5","4",4,"5"
"580",2,"2","5",5,"2"
"581",3,"3","1",5,"3"
"582",3,"3","1",2,"3"
"583",3,"3","5",5,"3"
"584",1,"1","5",5,"1"
"585",3,"3","2",2,"3"
"586",1,"1","1",5,"1"
"587",2,"2","1",5,"2"
"588",2,"2","1",5,"2"
"589",3,"3","2",3,"3"
"590",4,"4","1",5,"5"
"591",1,"1","1",5,"1"
"592",3,"3","5",5,"3"
"593",3,"3","5",5,"3"
"594",2,"2","2",1,"2"
"595",3,"3","5",5,"3"
"596",4,"4","1",5,"4"
"597",5,"5","2",5,"5"
"598",4,"4","2",1,"4"
"599",5,"5","5",5,"5"
"600",3,"3","5",5,"3"
"601",2,"2","2",3,"2"
"602",5,"5","5",1,"5"
"603",3,"3","1",5,"3"
"604",1,"1","1",3,"1"
"605",4,"4","5",4,"4"
"606",2,"2","1",3,"2"
"607",1,"1","1",1,"1"
"608",3,"3","5",5,"3"
"609",1,"1","1",5,"1"
"610",2,"2","1",3,"2"
"611",3,"3","3",3,"3"
"612",2,"2","1",3,"2"
"613",4,"4","1",5,"4"
"614",2,"2","1",5,"2"
"615",4,"4","5",5,"4"
"616",2,"2","1",5,"2"
"617",2,"2","1",5,"2"
"618",4,"4","5",5,"4"
"619",2,"2","1",1,"2"
"620",3,"3","5",5,"3"
"621",5,"5","5",5,"5"
"622",2,"2","5",5,"2"
"623",5,"5","4",5,"5"
"624",4,"4","1",5,"4"
"625",1,"1","1",3,"1"
"626",5,"5","5",5,"5"
"627",5,"5","5",5,"5"
"628",1,"1","1",5,"1"
"629",4,"4","4",5,"4"
"630",4,"4","5",5,"4"
"631",3,"3","5",5,"3"
"632",4,"4","5",5,"4"
"633",2,"2","1",3,"2"
"634",1,"1","1",3,"1"
"635",4,"4","5",5,"4"
"636",4,"4","5",5,"4"
"637",3,"3","2",5,"3"
"638",5,"5","5",5,"5"
"639",1,"1","1",5,"1"
"640",2,"2","1",3,"2"
"641",4,"4","5",5,"4"
"642",5,"5","5",5,"5"
"643",2,"2","1",2,"2"
"644",5,"5","5",5,"5"
"645",1,"1","1",1,"1"
"646",1,"1","5",5,"1"
"647",3,"3","5",5,"3"
"648",5,"5","5",5,"5"
"649",1,"1","3",3,"1"
"650",3,"3","1",5,"3"
"651",1,"1","1",3,"1"
"652",2,"2","3",3,"2"
"653",3,"3","4",5,"3"
"654",2,"2","5",5,"2"
"655",4,"4","2",5,"4"
"656",1,"1","1",3,"1"
"657",1,"1","5",5,"1"
"658",3,"3","5",5,"3"
"659",4,"4","5",5,"4"
"660",5,"5","4",5,"5"
"661",1,"1","1",5,"1"
"662",2,"2","1",5,"2"
"663",1,"1","1",5,"1"
"664",2,"2","5",5,"2"
"665",2,"2","1",3,"2"
"666",5,"5","4",1,"5"
"667",4,"4","2",3,"4"
"668",3,"3","1",5,"3"
"669",1,"1","2",3,"1"
"670",1,"1","5",5,"1"
"671",5,"5","5",5,"5"
"672",1,"1","1",1,"1"
"673",4,"4","1",5,"4"
"674",2,"2","1",2,"2"
"675",2,"2","1",3,"2"
"676",2,"2","2",5,"2"
"677",5,"5","3",5,"5"
"678",2,"2","4",5,"2"
"679",3,"3","5",5,"3"
"680",2,"2","5",5,"2"
"681",3,"3","1",3,"3"
"682",1,"1","1",5,"1"
"683",2,"2","2",1,"2"
"684",2,"2","2",3,"2"
"685",5,"5","1",5,"5"
"686",3,"3","1",5,"3"
"687",3,"3","5",5,"3"
"688",5,"5","5",5,"5"
"689",3,"3","3",2,"3"
"690",2,"2","1",5,"2"
"691",3,"3","4",5,"3"
"692",5,"5","5",5,"5"
"693",3,"3","5",5,"3"
"694",4,"4","5",5,"4"
"695",3,"3","1",1,"3"
"696",2,"2","1",3,"2"
"697",2,"2","2",3,"2"
"698",5,"4","4",5,"5"
"699",3,"3","5",5,"3"
"700",5,"5","1",5,"3"
"701",5,"5","5",5,"5"
"702",3,"3","3",5,"3"
"703",4,"4","4",2,"4"
"704",4,"4","5",5,"4"
"705",2,"2","4",5,"2"
"706",3,"3","2",5,"3"
"707",4,"4","5",5,"4"
"708",5,"5","5",5,"5"
"709",2,"2","1",2,"2"
"710",2,"2","1",5,"2"
"711",5,"5","5",5,"5"
"712",4,"4","5",5,"4"
"713",3,"3","1",5,"3"
"714",2,"2","2",1,"2"
"715",5,"5","5",5,"5"
"716",2,"2","2",3,"2"
"717",4,"5","5",5,"2"
"718",5,"5","4",5,"5"
"719",5,"5","5",5,"5"
"720",5,"5","5",5,"5"
"721",1,"1","1",1,"1"
"722",3,"3","5",5,"3"
"723",1,"1","1",5,"1"
"724",4,"4","5",5,"4"
"725",1,"1","1",5,"1"
"726",1,"1","1",1,"1"
"727",2,"2","1",5,"2"
"728",3,"3","5",5,"3"
"729",2,"2","5",5,"2"
"730",2,"2","1",5,"2"
"731",4,"4","5",5,"4"
"732",4,"4","2",5,"4"
"733",3,"3","1",5,"3"
"734",1,"1","1",3,"1"
"735",1,"1","3",5,"1"
"736",1,"1","2",1,"1"
"737",4,"4","2",3,"4"
"738",4,"4","2",3,"4"
"739",1,"1","1",5,"1"
"740",5,"5","5",5,"5"
"741",5,"5","5",5,"5"
"742",2,"2","1",5,"2"
"743",4,"4","5",1,"4"
"744",1,"1","5",5,"1"
"745",3,"3","5",5,"3"
"746",4,"4","4",5,"4"
"747",4,"4","1",3,"4"
"748",1,"1","1",3,"1"
"749",4,"4","5",5,"4"
"750",3,"3","1",1,"3"
"751",2,"2","2",1,"2"
"752",5,"5","5",5,"5"
"753",1,"1","1",3,"1"
"754",1,"1","2",3,"1"
"755",3,"3","5",5,"3"
"756",5,"5","5",5,"5"
"757",3,"3","1",5,"3"
"758",3,"3","1",1,"3"
"759",4,"4","2",3,"4"
"760",1,"1","5",5,"1"
"761",4,"4","3",5,"4"
"762",5,"5","1",5,"5"
"763",5,"5","5",5,"5"
"764",3,"3","1",2,"3"
"765",5,"5","5",5,"5"
"766",1,"1","2",3,"1"
"767",3,"3","1",5,"3"
"768",4,"4","1",3,"4"
"769",3,"3","5",5,"3"
"770",5,"5","5",5,"5"
"771",1,"1","5",5,"1"
"772",3,"3","5",5,"3"
"773",4,"4","5",5,"4"
"774",4,"4","4",3,"4"
"775",5,"5","5",5,"5"
"776",3,"3","5",5,"3"
"777",3,"3","5",5,"3"
"778",1,"1","1",1,"1"
"779",1,"1","1",3,"1"
"780",4,"4","1",3,"4"
"781",4,"4","1",5,"4"
"782",4,"4","5",5,"4"
"783",2,"2","4",3,"2"
"784",5,"5","5",5,"5"
"785",5,"5","5",5,"5"
"786",5,"5","2",5,"5"
"787",2,"2","2",2,"2"
"788",3,"3","3",5,"3"
"789",1,"1","1",3,"1"
"790",5,"5","5",5,"5"
"791",3,"3","1",5,"3"
"792",3,"3","1",3,"3"
"793",4,"4","4",5,"4"
"794",5,"5","5",5,"5"
"795",3,"3","1",5,"3"
"796",5,"5","5",5,"5"
"797",5,"5","4",1,"5"
"798",2,"2","5",5,"2"
"799",2,"2","3",5,"2"
"800",4,"4","5",5,"5"
"801",4,"4","1",4,"4"
"802",2,"2","4",5,"2"
"803",5,"5","5",5,"5"
"804",5,"5","1",5,"5"
"805",4,"4","1",5,"4"
"806",5,"5","5",5,"5"
"807",4,"4","5",5,"4"
"808",2,"2","1",5,"2"
"809",5,"5","2",5,"5"
"810",5,"5","5",5,"5"
"811",5,"3","3",5,"3"
"812",3,"3","3",5,"3"
"813",1,"1","1",1,"1"
"814",1,"1","1",1,"1"
"815",5,"3","3",3,"4"
"816",1,"1","5",5,"1"
"817",4,"4","1",5,"4"
"818",2,"2","5",5,"2"
"819",2,"2","4",5,"2"
"820",1,"1","1",1,"1"
"821",1,"1","5",5,"1"
"822",2,"2","1",5,"2"
"823",2,"2","2",1,"2"
"824",4,"4","5",5,"4"
"825",1,"1","1",5,"1"
"826",1,"1","1",5,"1"
"827",5,"5","3",3,"5"
"828",3,"3","1",3,"3"
"829",2,"2","1",3,"2"
"830",2,"2","5",5,"2"
"831",5,"5","5",5,"5"
"832",2,"2","1",5,"2"
"833",1,"1","1",1,"1"
"834",4,"4","5",5,"4"
"835",4,"4","1",5,"4"
"836",1,"1","5",5,"1"
"837",5,"5","5",5,"5"
"838",5,"5","5",1,"5"
"839",1,"1","4",5,"1"
"840",5,"5","2",1,"5"
"841",1,"1","1",3,"1"
"842",5,"5","5",5,"5"
"843",1,"1","1",1,"1"
"844",1,"1","4",3,"1"
"845",2,"2","5",5,"2"
"846",5,"5","5",5,"5"
"847",5,"5","4",3,"5"
"848",4,"4","5",5,"4"
"849",2,"2","5",5,"2"
"850",2,"2","1",5,"2"
"851",1,"1","4",5,"1"
"852",3,"3","5",5,"3"
"853",3,"3","2",3,"3"
"854",4,"4","5",5,"4"
"855",1,"1","1",5,"1"
"856",5,"5","5",5,"5"
"857",5,"5","5",5,"5"
"858",3,"3","2",3,"3"
"859",2,"2","1",2,"2"
"860",2,"2","2",1,"2"
"861",3,"3","4",5,"3"
"862",5,"5","5",5,"5"
"863",3,"3","4",2,"3"
"864",1,"1","1",1,"1"
"865",1,"1","1",1,"1"
"866",2,"2","1",3,"2"
"867",5,"5","5",5,"5"
"868",4,"4","1",4,"4"
"869",4,"4","1",3,"3"
"870",4,"4","5",5,"4"
"871",3,"3","4",3,"3"
