,test_data.respon,predRF,predC50,predSVM,predNB
827,5,5,5,3,5
828,4,2,2,1,2
829,4,4,4,5,1
830,5,5,5,5,2
831,1,3,3,1,1
832,3,3,1,5,1
833,5,5,5,5,5
834,5,3,1,5,1
835,2,5,4,5,5
836,4,4,4,5,5
837,5,5,5,5,5
838,5,5,5,5,4
839,5,5,5,5,5
840,5,5,5,5,5
841,5,5,5,5,5
842,5,5,5,5,5
843,5,5,5,5,5
844,4,5,5,5,5
845,5,5,5,5,5
846,4,4,4,1,2
847,5,5,5,4,3
848,5,5,5,5,5
849,4,4,2,3,1
850,5,5,5,5,5
851,4,4,4,5,5
852,5,5,5,5,5
853,1,5,3,5,5
854,5,5,5,5,4
855,5,5,5,5,5
856,5,5,5,5,5
857,4,4,4,1,1
858,5,5,5,5,5
859,5,5,5,5,5
860,4,4,4,5,5
861,5,5,5,5,5
862,5,5,5,5,2
863,5,5,3,5,5
864,5,5,5,5,5
865,5,5,5,1,5
866,5,5,5,5,5
867,5,5,5,5,5
868,2,3,2,5,1
869,5,5,5,5,5
870,5,5,5,5,4
871,5,5,5,5,5
872,5,5,5,5,5
873,3,3,5,5,5
874,5,5,5,5,5
875,5,5,5,5,5
876,5,5,5,5,5
877,5,5,5,5,5
878,5,5,5,5,4
879,5,5,5,5,5
880,5,5,5,1,3
881,5,5,5,4,5
882,5,5,5,5,5
883,5,5,5,5,5
884,4,5,5,5,5
885,4,4,4,5,2
886,2,2,2,5,1
887,5,5,5,5,4
888,5,5,5,5,5
889,5,4,4,5,1
890,5,5,5,4,5
891,5,5,5,5,5
892,5,5,5,5,4
893,5,5,5,1,5
894,5,5,5,5,5
895,3,3,5,5,1
896,5,5,5,5,4
897,3,3,3,5,5
898,5,5,5,5,5
899,5,5,5,5,5
900,5,3,5,5,1
901,4,4,4,5,4
902,4,4,4,5,5
903,5,5,5,5,5
904,5,5,5,5,5
905,5,5,5,4,5
906,4,4,4,5,5
907,4,4,5,1,1
908,3,5,5,5,3
909,3,5,5,5,1
910,5,5,5,5,4
911,5,5,5,5,5
912,5,5,5,5,5
913,2,2,2,5,4
914,3,3,3,5,5
915,5,5,5,5,5
916,5,5,5,5,5
917,5,5,5,5,4
918,5,5,5,5,2
919,2,5,4,5,1
920,4,4,4,5,5
921,5,5,5,5,5
922,3,3,5,1,1
923,2,3,3,3,1
924,2,2,2,5,5
925,4,3,3,1,1
926,5,5,5,5,5
927,5,5,5,5,5
928,5,3,5,1,1
929,5,5,5,4,4
930,5,5,5,5,5
931,4,4,2,5,3
932,5,5,5,5,4
933,5,3,3,3,1
934,5,5,5,5,5
935,5,5,3,5,5
936,5,5,5,5,5
937,3,3,3,5,5
938,5,5,5,5,5
939,5,5,5,5,2
940,3,3,3,1,1
941,5,5,5,5,3
942,5,5,5,5,5
943,4,4,5,5,4
944,5,5,5,1,5
945,5,5,5,5,5
946,5,5,5,5,5
947,3,3,3,5,5
948,1,3,1,5,1
949,5,5,5,5,5
950,5,5,5,5,5
951,5,5,5,3,1
952,5,5,5,5,5
953,5,5,5,4,1
954,5,5,5,4,5
955,5,5,5,5,5
956,5,5,5,5,5
957,5,5,5,5,5
958,5,5,5,5,5
959,2,2,2,5,2
960,5,5,5,5,5
961,5,5,5,5,5
962,5,5,5,5,5
963,4,4,4,5,5
964,4,4,4,5,5
965,4,4,4,5,5
966,5,5,5,5,5
967,5,5,5,5,5
968,5,5,5,5,5
969,5,5,5,5,5
970,5,5,3,5,5
971,5,5,5,5,5
972,4,4,3,5,5
973,5,5,5,5,5
974,5,5,5,5,1
975,5,5,5,5,5
976,5,5,5,5,1
977,5,5,5,5,5
978,5,5,5,5,5
979,5,5,5,5,5
980,3,3,5,5,5
981,5,5,3,3,2
982,5,5,5,5,5
983,3,3,3,5,1
984,4,4,4,5,5
985,3,3,3,1,3
986,5,5,5,5,5
987,5,5,5,5,5
988,3,5,3,5,1
989,1,5,5,5,1
990,5,5,5,5,5
991,5,5,5,5,5
992,5,5,5,5,5
993,3,3,3,3,2
994,5,5,5,5,5
995,5,5,5,5,5
996,4,5,1,3,1
997,5,5,5,5,5
998,5,5,5,5,5
999,5,5,5,5,5
1000,5,5,5,5,5
1001,4,4,4,5,5
1002,5,5,5,5,5
1003,5,5,5,5,5
1004,5,5,5,5,5
1005,5,5,5,5,5
1006,5,5,5,5,5
1007,5,5,5,2,5
1008,5,5,4,5,4
1009,5,5,5,5,5
1010,1,3,3,5,2
1011,2,1,4,3,1
1012,5,5,5,5,5
1013,5,5,5,5,5
1014,5,5,5,5,4
1015,5,5,5,5,5
1016,5,5,5,5,5
1017,3,3,3,5,5
1018,5,5,5,5,5
1019,5,5,5,5,5
1020,5,3,4,5,1
1021,1,1,1,1,1
1022,5,5,5,5,5
1023,3,3,3,1,1
1024,5,5,5,5,5
1025,5,5,5,5,5
1026,5,5,5,5,3
1027,5,5,5,5,5
1028,5,5,5,5,5
1029,5,5,5,5,5
1030,3,2,2,3,1
1031,5,5,5,5,5
1032,2,5,4,5,1
1033,5,5,5,5,5
1034,5,5,5,5,5
1035,5,3,3,1,1
1036,5,3,5,1,1
1037,2,2,2,5,4
1038,5,5,5,5,5
1039,5,5,5,5,5
1040,5,5,2,1,5
1041,5,5,5,5,5
1042,5,5,5,2,1
1043,5,5,5,5,5
1044,5,5,5,5,5
1045,5,5,5,5,3
1046,5,5,5,5,5
1047,5,5,5,5,4
1048,5,5,5,5,5
1049,4,4,4,5,2
1050,4,4,4,5,2
1051,5,5,5,5,5
1052,4,5,3,3,1
1053,4,4,4,5,5
1054,5,5,5,5,5
1055,3,3,3,5,5
1056,5,5,5,5,5
1057,5,5,5,5,3
1058,5,5,5,5,5
1059,3,3,3,5,5
1060,5,5,5,5,5
1061,5,5,5,5,4
1062,5,5,5,5,3
1063,3,3,3,5,5
1064,3,3,3,5,5
1065,5,5,5,5,5
1066,3,3,4,3,1
1067,4,4,4,5,1
1068,5,5,5,5,5
1069,4,4,4,5,5
1070,5,5,5,5,5
1071,5,5,5,5,1
1072,5,5,5,5,2
1073,4,4,4,5,5
1074,5,5,5,5,5
1075,5,5,5,5,1
1076,5,5,5,5,5
1077,5,5,5,5,5
1078,5,5,5,5,5
1079,5,5,5,5,5
1080,5,5,5,5,5
1081,5,5,5,5,5
1082,4,4,4,1,5
1083,3,5,5,5,5
1084,2,3,5,3,1
1085,2,5,4,5,1
1086,5,5,5,5,2
1087,5,5,3,5,5
1088,5,5,5,5,5
1089,5,5,5,5,4
1090,5,5,5,5,5
1091,5,5,5,5,5
1092,5,5,5,5,5
1093,5,5,5,5,5
1094,4,2,2,5,2
1095,5,5,5,5,3
1096,2,3,3,1,1
1097,5,5,5,5,1
1098,4,4,4,5,5
1099,5,5,5,5,5
1100,4,4,4,5,5
1101,5,5,5,5,5
1102,5,5,5,5,5
1103,5,5,5,5,5
1104,5,5,5,5,5
1105,5,5,5,5,4
1106,5,5,5,5,5
1107,3,3,5,5,2
1108,4,4,4,5,2
1109,5,5,5,5,5
1110,4,5,4,5,1
1111,3,5,5,5,5
1112,4,4,5,1,1
1113,5,5,5,5,5
1114,1,2,3,1,1
1115,5,5,5,5,5
1116,5,5,5,5,5
1117,2,5,4,5,2
1118,5,5,5,5,1
1119,4,4,4,5,5
1120,5,5,5,5,5
1121,5,5,5,5,5
1122,3,3,3,5,5
1123,5,5,5,3,5
1124,4,5,5,5,5
1125,5,5,5,5,5
1126,5,5,4,5,2
1127,5,4,3,3,1
1128,5,5,5,5,5
1129,3,3,3,5,5
1130,5,5,5,5,5
1131,5,5,5,5,5
1132,5,5,5,5,5
1133,3,3,3,5,1
1134,1,3,1,1,1
1135,5,5,5,5,5
1136,5,5,5,5,5
1137,5,5,5,5,5
1138,5,5,5,5,4
1139,1,2,2,3,1
1140,5,5,5,5,5
1141,5,5,5,5,5
1142,5,5,5,5,4
1143,5,5,5,5,1
1144,5,5,5,5,5
1145,4,4,4,5,5
1146,5,5,5,4,5
1147,5,5,5,5,5
1148,4,4,4,5,5
1149,5,5,5,5,5
