source-word,target-word,origin_n_show,origin_total_duration,origin_mean_duration,origin_median_duration,origin_total_vote_up,origin_mean_vote_up,origin_median_vote_up,origin_total_vote_down,origin_mean_vote_down,origin_median_vote_down,origin_n_gram,origin_n_char,origin_n_user,origin_n_diff_translation,origin_readibility,origin_mean_n_gram_translation,origin_mean_n_char_translation,origin_num_most_common_translation,origin_most_common_n_gram,origin_most_common_n_char,origin_word_entropy,translation_n_show,translation_total_duration,translation_mean_duration,translation_median_duration,translation_total_vote_up,translation_mean_vote_up,translation_median_vote_up,translation_total_vote_down,translation_mean_vote_down,translation_median_vote_down,translation_n_gram,translation_n_char,translation_n_user,is_top_translation,translation_lv_distance,translation_jaro_distance,manual_origin_source,manual_assessment
breaking arrest,menggagalkan penangkapan,6,195.081,32.5135,21.764,11,1.83333333333,2.0,1,0.166666666667,0.0,2,15,6,3,2,2.16666666667,21.6666666667,4,2,21,1.6644977792,1,15.595,15.595,15.595,2,2.0,2.0,0,0.0,0.0,2,24,1,0,20,0.497222222222,1.0,3.0
toxicity,bersifat racun,17,338.804,19.9296470588,10.487,26,1.52941176471,2.0,6,0.352941176471,0.0,1,8,17,10,1,1.29411764706,9.58823529412,4,1,10,3.10188122348,1,19.764,19.764,19.764,2,2.0,2.0,0,0.0,0.0,2,14,1,0,12,0.464285714286,3.0,5.0
private disaster risk reduction investment,investasi swasta dalam pengurangan risiko bencana,12,461.539,38.4615833333,28.228,21,1.75,2.0,2,0.166666666667,0.0,5,42,12,9,4,5.5,46.6666666667,4,5,43,2.91829583405,1,20.423,20.423,20.423,2,2.0,2.0,0,0.0,0.0,6,49,1,0,36,0.669571995465,3.0,5.0
killed injured,luka mematikan,12,280.593,23.38275,13.7525,20,1.66666666667,2.0,1,0.0833333333333,0.0,2,14,12,11,1,2.25,16.25,2,2,16,3.41829583405,1,52.472,52.472,52.472,2,2.0,2.0,0,0.0,0.0,2,14,1,0,14,0.507936507937,1.0,1.0
recover,penyembuhan,16,142.864,8.929,6.969,26,1.625,2.0,2,0.125,0.0,1,7,16,8,1,1.0,8.0625,3,1,9,2.85845859334,1,7.324,7.324,7.324,2,2.0,2.0,0,0.0,0.0,1,11,1,0,10,0.489177489177,3.0,5.0
distribution of kits,distribusi perlengkapan,18,354.568,19.6982222222,16.245,28,1.55555555556,2.0,7,0.388888888889,0.0,3,20,18,13,1,2.0,17.9444444444,4,2,20,3.46132014021,1,13.47,13.47,13.47,2,2.0,2.0,0,0.0,0.0,2,23,1,0,13,0.679468599034,3.0,5.0
hazard occurrence,bencana yang terjadi,12,245.396,20.4496666667,14.835,21,1.75,2.0,2,0.166666666667,0.0,2,17,12,7,2,2.08333333333,16.1666666667,5,2,15,2.45082579452,1,25.509,25.509,25.509,1,1.0,1.0,0,0.0,0.0,3,20,1,0,17,0.492016806723,3.0,5.0
international experience,pengalaman negara dunia,22,344.667,15.6666818182,11.9415,39,1.77272727273,2.0,3,0.136363636364,0.0,2,24,22,4,2,2.18181818182,24.2727272727,19,2,24,0.790766947936,1,19.141,19.141,19.141,0,0.0,0.0,2,2.0,2.0,3,23,1,0,20,0.535024154589,3.0,1.0
triggered,terpelatuk,20,267.556,13.3778,10.4155,35,1.75,2.0,3,0.15,0.0,1,9,20,8,1,1.05,7.55,9,1,6,2.39546184424,1,6.7,6.7,6.7,0,0.0,0.0,1,1.0,1.0,1,10,1,0,8,0.531481481481,3.0,1.0
enhanced coordination,perbaikan koordinasi,15,411.989,27.4659333333,20.501,28,1.86666666667,2.0,1,0.0666666666667,0.0,2,21,15,8,2,2.46666666667,24.0666666667,5,3,28,2.6825887305,1,20.3,20.3,20.3,1,1.0,1.0,0,0.0,0.0,2,20,1,0,11,0.584920634921,3.0,5.0
adequate housing solutions,solusi pemukiman yang memadai,10,275.376,27.5376,19.002,18,1.8,2.0,1,0.1,0.0,3,26,10,4,3,3.7,26.5,7,4,29,1.67293303187,1,38.433,38.433,38.433,2,2.0,2.0,0,0.0,0.0,4,29,1,0,26,0.507073386384,3.0,4.0
greywater,limbah pencucian,29,758.291,26.1479655172,14.811,44,1.51724137931,2.0,10,0.344827586207,0.0,1,9,26,18,1,2.1724137931,11.5517241379,8,2,9,3.63006235808,1,64.747,64.747,64.747,1,1.0,1.0,1,1.0,1.0,2,16,1,0,15,0.282407407407,1.0,1.0
internally displaced people (IDP),pengungsi lokal,7,196.337,28.0481428571,16.811,9,1.28571428571,2.0,4,0.571428571429,0.0,4,33,7,4,2,2.85714285714,21.5714285714,4,2,18,,1,92.35,92.35,92.35,2,2.0,2.0,0,0.0,0.0,2,15,1,0,28,0.537373737374,,4.0
arbitrarily,berubah-ubah,13,241.949,18.6114615385,17.917,20,1.53846153846,2.0,2,0.153846153846,0.0,1,11,13,7,1,1.23076923077,13.9230769231,6,1,15,2.35353394858,1,5.242,5.242,5.242,1,1.0,1.0,0,0.0,0.0,1,12,1,0,11,0.482323232323,3.0,3.0
multi-hazard early warning systems,sistem peringatan awal multi-bahaya,13,288.029,22.1560769231,18.888,24,1.84615384615,2.0,1,0.0769230769231,0.0,4,34,13,10,3,4.76923076923,36.4615384615,3,4,35,3.18083298721,1,18.888,18.888,18.888,1,1.0,1.0,1,1.0,1.0,4,35,1,0,30,0.596358543417,3.0,5.0
help flood,menolong banjir,16,198.83,12.426875,10.008,24,1.5,2.0,5,0.3125,0.0,2,10,16,8,0,2.0625,15.25,5,2,15,2.64939747035,1,4.594,4.594,4.594,2,2.0,2.0,0,0.0,0.0,2,15,1,0,12,0.544444444444,1.0,3.0
disaster sites,daerah bencana,12,180.019,15.0015833333,13.1825,23,1.91666666667,2.0,0,0.0,0.0,2,14,12,9,1,2.5,17.6666666667,3,2,14,3.02205520887,1,9.442,9.442,9.442,2,2.0,2.0,0,0.0,0.0,2,14,1,0,13,0.619047619048,3.0,5.0
eligible children,anak-anak yang berhak,14,275.474,19.6767142857,16.747,24,1.71428571429,2.0,3,0.214285714286,0.0,2,17,14,7,1,3.5,24.0,8,4,30,2.09306920777,1,17.38,17.38,17.38,2,2.0,2.0,0,0.0,0.0,3,21,1,0,19,0.377404295051,3.0,5.0
minor injuries,kecelakaan kecil,15,278.733,18.5822,14.12,27,1.8,2.0,2,0.133333333333,0.0,2,14,15,6,2,2.0,11.8666666667,8,2,11,2.20281953111,1,8.151,8.151,8.151,1,1.0,1.0,1,1.0,1.0,2,16,1,0,15,0.428571428571,3.0,3.0
local population,penduduk lokal,19,204.564,10.7665263158,7.694,36,1.89473684211,2.0,1,0.0526315789474,0.0,2,16,19,4,2,2.0,14.3157894737,14,2,14,1.19225086023,3,59.748,19.916,21.978,5,1.66666666667,2.0,1,0.333333333333,0.0,2,14,3,0,15,0.502976190476,3.0,5.0
dry rations,paket makanan kering,9,208.567,23.1741111111,14.167,11,1.22222222222,1.0,4,0.444444444444,0.0,2,11,9,8,1,2.33333333333,16.0,2,2,14,3.12192809489,1,9.201,9.201,9.201,2,2.0,2.0,0,0.0,0.0,3,20,1,0,17,0.437878787879,3.0,5.0
increased risk of flooding,resiko banjir meningkat,17,334.679,19.687,13.802,29,1.70588235294,2.0,2,0.117647058824,0.0,4,26,17,13,2,3.29411764706,26.7647058824,3,3,25,3.52806431158,1,20.3,20.3,20.3,2,2.0,2.0,0,0.0,0.0,3,23,1,0,22,0.645345596433,3.0,5.0
national circumstances,kondisi negara,14,385.686,27.549,20.3855,27,1.92857142857,2.0,1,0.0714285714286,0.0,2,22,14,6,2,2.07142857143,16.3571428571,6,2,16,2.21702188588,1,62.496,62.496,62.496,2,2.0,2.0,0,0.0,0.0,2,14,1,0,18,0.58961038961,3.0,5.0
water supply production,produksi sumber air bersih,24,570.445,23.7685416667,19.8055,42,1.75,2.0,2,0.0833333333333,0.0,3,23,24,7,2,3.08333333333,21.2083333333,8,3,23,2.40726822962,1,16.971,16.971,16.971,2,2.0,2.0,0,0.0,0.0,4,26,1,0,21,0.50646599777,3.0,5.0
injuries reported,luka dilaporkan,20,398.543,19.92715,14.3145,27,1.35,1.0,10,0.5,0.0,2,17,20,17,2,2.4,18.3,3,2,18,3.98418371978,1,10.387,10.387,10.387,1,1.0,1.0,0,0.0,0.0,2,15,1,0,13,0.417647058824,3.0,1.0
profound gratitude,ucapan terima kasih yang mendalam,6,149.792,24.9653333333,22.308,10,1.66666666667,2.0,1,0.166666666667,0.0,2,18,6,5,2,4.33333333333,30.8333333333,2,4,34,2.52164063634,1,24.152,24.152,24.152,1,1.0,1.0,0,0.0,0.0,5,33,1,0,29,0.526936026936,3.0,5.0
less-malnourished children,anak-anak kurang nutrisi,15,288.571,19.2380666667,20.068,24,1.6,2.0,3,0.2,0.0,2,26,15,10,1,3.46666666667,23.3333333333,4,3,16,3.10689059561,1,15.975,15.975,15.975,1,1.0,1.0,1,1.0,1.0,3,24,1,0,22,0.475621600622,2.0,5.0
biological hazards,bahaya biologi,20,330.546,16.5273,11.177,35,1.75,2.0,1,0.05,0.0,2,18,20,7,2,2.1,16.15,14,2,15,1.65677964945,1,4.435,4.435,4.435,2,2.0,2.0,0,0.0,0.0,2,14,1,0,15,0.62328042328,3.0,5.0
indigenous peoples' approach to disaster risk management,tata kelola resiko bencana dengan pendekatan masyarakat pribumi,11,503.221,45.7473636364,38.341,19,1.72727272727,2.0,1,0.0909090909091,0.0,7,56,11,9,5,7.18181818182,61.4545454545,3,7,60,3.02716911844,1,31.885,31.885,31.885,1,1.0,1.0,0,0.0,0.0,8,63,1,0,49,0.677264058078,2.0,3.0
focus group discussions,diskusi kelompok,13,333.049,25.6191538462,15.728,23,1.76923076923,2.0,1,0.0769230769231,0.0,3,23,13,9,2,3.30769230769,24.9230769231,3,3,24,2.96891856396,1,20.074,20.074,20.074,1,1.0,1.0,0,0.0,0.0,2,16,1,0,20,0.490942028986,2.0,3.0
homeless people,orang tak berumah,16,232.439,14.5274375,11.0865,25,1.5625,2.0,3,0.1875,0.0,2,15,16,8,1,2.1875,15.4375,8,1,9,2.375,1,8.858,8.858,8.858,1,1.0,1.0,1,1.0,1.0,3,17,1,0,15,0.347712418301,3.0,5.0
symptoms,tanda,15,134.619,8.9746,5.919,29,1.93333333333,2.0,0,0.0,0.0,1,8,15,3,1,1.0,6.86666666667,12,1,6,0.905587261698,1,5.984,5.984,5.984,2,2.0,2.0,0,0.0,0.0,1,5,1,0,8,0.0,3.0,5.0
power supplies,persediaan daya,12,201.368,16.7806666667,16.4955,20,1.66666666667,2.0,1,0.0833333333333,0.0,2,14,12,7,1,2.0,14.75,6,2,15,2.29248125036,1,15.617,15.617,15.617,2,2.0,2.0,0,0.0,0.0,2,15,1,0,13,0.553968253968,3.0,3.0
oncologists,dokter ahli pengobatan kanker,12,327.904,27.3253333333,13.0875,20,1.66666666667,2.0,2,0.166666666667,0.0,1,11,12,7,1,2.0,13.5833333333,4,2,13,2.77736279506,1,70.367,70.367,70.367,2,2.0,2.0,0,0.0,0.0,4,29,1,0,25,0.483057172712,3.0,5.0
governance,pengaturan,17,231.439,13.6140588235,8.141,31,1.82352941176,2.0,2,0.117647058824,0.0,1,10,17,4,1,1.11764705882,11.4117647059,11,1,12,1.49606591154,2,16.618,8.309,8.309,3,1.5,1.5,1,0.5,0.5,1,10,2,0,9,0.622222222222,3.0,5.0
capitalizing on local resources,memanfaatkan sumber daya setempat,17,559.528,32.9134117647,22.512,30,1.76470588235,2.0,0,0.0,0.0,4,31,17,9,3,4.05882352941,31.1176470588,9,4,30,2.58496250072,1,34.431,34.431,34.431,2,2.0,2.0,0,0.0,0.0,4,33,1,0,29,0.535027696318,3.0,4.0
deepest gratitude,rasa terima kasih yang terdalam / rasa terima kasih yang tulus,16,328.205,20.5128125,16.036,31,1.9375,2.0,1,0.0625,0.0,2,17,16,14,2,4.375,30.8125,2,4,25,3.75,1,18.851,18.851,18.851,2,2.0,2.0,0,0.0,0.0,11,62,1,0,52,0.529922639031,3.0,5.0
power supplies,suplai listrik,12,201.368,16.7806666667,16.4955,20,1.66666666667,2.0,1,0.0833333333333,0.0,2,14,12,7,1,2.0,14.75,6,2,15,2.29248125036,1,20.776,20.776,20.776,2,2.0,2.0,0,0.0,0.0,2,14,1,0,13,0.52380952381,3.0,3.0
multisectoral,banyak bagian,21,310.902,14.8048571429,12.352,39,1.85714285714,2.0,1,0.047619047619,0.0,1,13,21,10,1,1.52380952381,12.6666666667,6,1,13,2.95114301771,1,5.58,5.58,5.58,2,2.0,2.0,0,0.0,0.0,2,13,1,0,12,0.384615384615,3.0,5.0
functioning safe spaces,tempat aman yang dapat dipakai,16,455.045,28.4403125,26.919,30,1.875,2.0,3,0.1875,0.0,3,23,16,14,2,3.8125,25.6875,3,4,26,3.70281953111,1,84.781,84.781,84.781,2,2.0,2.0,0,0.0,0.0,5,30,1,0,21,0.42270531401,1.0,3.0
educators,pengajar,14,149.788,10.6991428571,9.7225,24,1.71428571429,2.0,1,0.0714285714286,0.0,1,9,14,5,1,1.21428571429,9.14285714286,8,1,8,1.75343438619,3,53.24,17.7466666667,10.473,5,1.66666666667,2.0,1,0.333333333333,0.0,1,8,3,0,7,0.569444444444,3.0,5.0
environmental degradation,pencemaran lingkungan,35,807.043,23.0583714286,16.565,67,1.91428571429,2.0,1,0.0285714285714,0.0,2,25,28,9,2,2.2,21.6571428571,22,2,20,2.01892921374,1,14.782,14.782,14.782,2,2.0,2.0,0,0.0,0.0,2,21,1,0,20,0.660317460317,3.0,5.0
nurses,suster,16,116.548,7.28425,6.6695,29,1.8125,2.0,0,0.0,0.0,1,6,16,3,1,1.0,7.4375,14,1,7,0.6685644432,1,11.097,11.097,11.097,2,2.0,2.0,0,0.0,0.0,1,6,1,0,4,0.666666666667,3.0,5.0
re-building capacity,kemampuan membangun kembali,15,287.942,19.1961333333,15.51,25,1.66666666667,2.0,4,0.266666666667,0.0,2,20,15,9,2,3.0,26.5333333333,5,3,27,2.86624789731,1,10.22,10.22,10.22,2,2.0,2.0,0,0.0,0.0,3,27,1,0,22,0.49012345679,3.0,5.0
community therapeutic care programs,program perawatan terapeutik pada masyarakat,13,570.528,43.8867692308,44.97,23,1.76923076923,2.0,1,0.0769230769231,0.0,4,35,13,11,3,4.15384615385,36.7692307692,2,4,35,3.39274741045,1,15.998,15.998,15.998,2,2.0,2.0,0,0.0,0.0,5,44,1,0,27,0.640822510823,3.0,4.0
landfall,pendaratan,18,262.346,14.5747777778,10.503,27,1.5,2.0,5,0.277777777778,0.0,1,8,18,4,1,1.33333333333,9.88888888889,6,1,7,1.80163664127,6,150.274,25.0456666667,16.6385,8,1.33333333333,1.5,2,0.333333333333,0.0,1,10,6,0,7,0.55,3.0,1.0
cash-based assistance,asisten berdasarkan uang kas,15,287.648,19.1765333333,13.801,25,1.66666666667,2.0,3,0.2,0.0,2,21,15,9,2,2.93333333333,20.0666666667,3,2,13,3.00623892865,1,5.468,5.468,5.468,1,1.0,1.0,1,1.0,1.0,4,28,1,0,22,0.673611111111,3.0,1.0
temporary housing,penginapan sementara,22,504.006,22.9093636364,15.8105,36,1.63636363636,2.0,3,0.136363636364,0.0,2,17,22,5,2,2.40909090909,20.9090909091,12,2,19,1.7080986635,1,71.716,71.716,71.716,2,2.0,2.0,0,0.0,0.0,2,20,1,0,17,0.439869281046,3.0,4.0
air controller service,layanan pengendalian udara,17,530.428,31.2016470588,28.34,32,1.88235294118,2.0,0,0.0,0.0,3,22,17,11,1,2.94117647059,22.7647058824,6,3,24,3.05747607629,1,30.634,30.634,30.634,2,2.0,2.0,0,0.0,0.0,3,26,1,0,23,0.47972027972,2.0,5.0
community water supply,komunitas persediaan air,25,616.662,24.66648,23.12,37,1.48,2.0,5,0.2,0.0,3,22,25,12,2,3.2,23.8,10,3,22,2.91508495182,1,23.872,23.872,23.872,0,0.0,0.0,1,1.0,1.0,3,24,1,0,17,0.633935508936,3.0,1.0
missing flood,tidak ada banjir,10,202.169,20.2169,17.0265,12,1.2,1.0,8,0.8,1.0,2,13,10,8,1,2.6,16.9,3,3,18,2.84643934467,1,16.625,16.625,16.625,2,2.0,2.0,0,0.0,0.0,3,16,1,0,14,0.435897435897,1.0,3.0
cyclical downturns affecting,efek kepenurunan putaran,7,254.442,36.3488571429,27.586,8,1.14285714286,1.0,6,0.857142857143,1.0,3,28,7,7,3,3.57142857143,32.0,1,3,31,2.80735492206,1,61.184,61.184,61.184,1,1.0,1.0,1,1.0,1.0,3,24,1,0,24,0.457936507937,1.0,3.0
unconfirmed reports,laporan belum terkofirmasi,27,589.057,21.8169259259,17.989,41,1.51851851852,2.0,7,0.259259259259,0.0,2,19,25,16,2,3.85185185185,28.8888888889,9,4,31,3.47602361279,1,11.926,11.926,11.926,2,2.0,2.0,0,0.0,0.0,3,26,1,0,19,0.615577405051,3.0,5.0
skills training,latihan kemampuan,27,424.296,15.7146666667,10.774,52,1.92592592593,2.0,0,0.0,0.0,2,15,27,9,1,2.0,20.0,9,2,22,2.67566655819,1,10.542,10.542,10.542,2,2.0,2.0,0,0.0,0.0,2,17,1,0,14,0.542973856209,3.0,5.0
physical impact,dampak secara psikis,17,343.683,20.2166470588,10.87,30,1.76470588235,2.0,2,0.117647058824,0.0,2,15,17,5,2,2.05882352941,12.6470588235,13,2,12,1.2577148215,1,6.611,6.611,6.611,2,2.0,2.0,0,0.0,0.0,3,20,1,0,15,0.572222222222,3.0,5.0
sustainable development,pengembangan berkesinambungan,16,231.353,14.4595625,14.766,28,1.75,2.0,1,0.0625,0.0,2,23,16,5,2,2.0625,25.6875,11,2,25,1.49664076219,1,14.605,14.605,14.605,2,2.0,2.0,0,0.0,0.0,2,29,1,0,23,0.497978283585,3.0,4.0
human skills ability,kemampuan ilmu manusia,10,262.9,26.29,13.339,15,1.5,2.0,2,0.2,0.0,3,20,10,6,2,2.6,23.4,3,2,17,2.37095059445,1,10.247,10.247,10.247,2,2.0,2.0,0,0.0,0.0,3,22,1,0,16,0.60404040404,3.0,3.0
environmental coverage,penaungan lingkungan,13,295.652,22.7424615385,17.857,21,1.61538461538,2.0,4,0.307692307692,0.0,2,22,13,8,2,2.07692307692,19.0,6,2,18,2.50738010242,1,52.81,52.81,52.81,2,2.0,2.0,0,0.0,0.0,2,20,1,0,18,0.584848484848,3.0,4.0
customs facilities,fasilitas umum,18,342.547,19.0303888889,11.9425,25,1.38888888889,1.0,8,0.444444444444,0.0,2,18,18,11,2,2.44444444444,17.4444444444,6,3,19,3.22109725006,2,22.607,11.3035,11.3035,2,1.0,1.0,1,0.5,0.5,2,14,2,0,16,0.589947089947,3.0,1.0
non government organization (NGO),lembaga non-pemerintah,18,367.758,20.431,16.6815,33,1.83333333333,2.0,2,0.111111111111,0.0,4,33,18,9,1,3.0,26.1666666667,5,3,25,,1,40.254,40.254,40.254,2,2.0,2.0,0,0.0,0.0,2,22,1,0,28,0.544011544012,,5.0
accurate hazards identification,identifikasi bahaya dengan akurat,13,274.448,21.1113846154,17.453,25,1.92307692308,2.0,1,0.0769230769231,0.0,3,31,13,7,3,3.61538461538,30.1538461538,5,4,31,2.44162987379,1,16.116,16.116,16.116,2,2.0,2.0,0,0.0,0.0,4,33,1,0,27,0.600407298794,3.0,4.0
killed police,polisi tewas,25,296.187,11.84748,9.696,48,1.92,2.0,1,0.04,0.0,2,13,25,4,0,2.36,16.68,10,2,15,1.70952633232,1,5.978,5.978,5.978,2,2.0,2.0,0,0.0,0.0,2,12,1,0,11,0.467094017094,1.0,5.0
local and traditional knowledge,lokal dan pengetahuan tradisional,20,438.702,21.9351,17.1415,39,1.95,2.0,0,0.0,0.0,4,31,20,7,3,3.95,32.05,13,4,33,1.8166422781,1,19.054,19.054,19.054,2,2.0,2.0,0,0.0,0.0,4,33,1,0,23,0.697026364628,3.0,2.0
corrective disaster risk management,perbaikan manajemen risiko bencana,9,289.567,32.1741111111,37.665,15,1.66666666667,2.0,2,0.222222222222,0.0,4,35,9,8,3,4.22222222222,36.3333333333,2,4,35,2.94770277922,1,47.944,47.944,47.944,2,2.0,2.0,0,0.0,0.0,4,34,1,0,26,0.596358543417,3.0,2.0
peaks deaths,jumlah kematian terbanyak,11,201.75,18.3409090909,12.248,19,1.72727272727,2.0,2,0.181818181818,0.0,2,12,11,6,0,2.18181818182,16.5454545455,6,2,15,2.04945207279,1,38.192,38.192,38.192,2,2.0,2.0,0,0.0,0.0,3,25,1,0,20,0.578888888889,1.0,3.0
economic goals,sasaran ekonomi,16,185.872,11.617,9.0265,26,1.625,2.0,3,0.1875,0.0,2,14,16,5,1,2.0,14.1875,11,2,14,1.49664076219,1,12.521,12.521,12.521,2,2.0,2.0,0,0.0,0.0,2,15,1,0,14,0.496825396825,3.0,5.0
enhanced coordination,koordinasi yang baik,15,411.989,27.4659333333,20.501,28,1.86666666667,2.0,1,0.0666666666667,0.0,2,21,15,8,2,2.46666666667,24.0666666667,5,3,28,2.6825887305,1,4.908,4.908,4.908,1,1.0,1.0,1,1.0,1.0,3,20,1,0,19,0.570057720058,3.0,4.0
hotline help,layanan bantuan,14,354.2,25.3,15.5755,25,1.78571428571,2.0,2,0.142857142857,0.0,2,12,14,11,1,2.71428571429,19.3571428571,4,2,15,3.23592635063,1,13.283,13.283,13.283,2,2.0,2.0,0,0.0,0.0,2,15,1,0,14,0.483333333333,3.0,4.0
even scary,lebih menakutkan,13,179.867,13.8359230769,10.874,23,1.76923076923,2.0,3,0.230769230769,0.0,2,10,13,7,0,1.92307692308,16.5384615385,6,2,17,2.35353394858,1,33.46,33.46,33.46,1,1.0,1.0,1,1.0,1.0,2,16,1,0,13,0.5375,1.0,3.0
communities damaged,masyarakat rusak,14,443.108,31.6505714286,20.134,26,1.85714285714,2.0,1,0.0714285714286,0.0,2,19,14,10,2,2.28571428571,19.2857142857,3,3,20,3.18200581476,1,10.343,10.343,10.343,1,1.0,1.0,1,1.0,1.0,2,16,1,0,17,0.459116541353,1.0,2.0
flood affected,terjangkit banjir,9,171.249,19.0276666667,14.133,14,1.55555555556,2.0,4,0.444444444444,0.0,2,14,9,8,1,2.11111111111,16.8888888889,2,2,13,2.94770277922,1,8.091,8.091,8.091,2,2.0,2.0,0,0.0,0.0,2,17,1,0,17,0.352474323063,1.0,3.0
morning flood,banjir awal,15,268.806,17.9204,8.171,23,1.53333333333,2.0,5,0.333333333333,0.0,2,13,15,7,0,2.13333333333,12.0666666667,9,2,11,2.00493559474,1,7.344,7.344,7.344,1,1.0,1.0,1,1.0,1.0,2,11,1,0,11,0.546386946387,1.0,3.0
trapped underground,terperangkap dibawah tanah,15,274.551,18.3034,12.767,28,1.86666666667,2.0,2,0.133333333333,0.0,2,19,15,5,1,3.86666666667,23.8,9,4,23,1.6879430946,1,16.751,16.751,16.751,1,1.0,1.0,1,1.0,1.0,3,26,1,0,21,0.599865047233,3.0,5.0
chemical explosion,ledakan zat kimia,16,182.296,11.3935,11.1315,27,1.6875,2.0,0,0.0,0.0,2,18,16,5,2,2.375,15.4375,8,2,13,1.875,1,4.488,4.488,4.488,1,1.0,1.0,0,0.0,0.0,3,17,1,0,15,0.457298474946,3.0,5.0
