origin,translation,score original word,score for translation quality-Yulis,Awan,Dika,x-times,prop #translated (x times),prop #translated (x times),vote up,Propotion of vote up,vote down,score,min,max,mean,median,std,time-needed,,,,,,,,
access to financial services,akses ke pelayanan keuangan,,4,3,5,2,"5,890","58,898",3,1,0,3,8.275,13.293,10.784,10.784,2.509,"[8.2750000000000004, 13.292999999999999]",,,,,,,,
access to financial services,akses ke pelayanan finansial,,4,3,4,2,"5,890","58,898",3,1,0,3,16.452,29.68,23.066,23.066,6.614,"[16.452000000000002, 29.68]",,,,,,,,
access to financial services,akses terhadap layanan keuangan,,5,5,5,2,"5,890","58,898",3,"0,75",1,2,9.014,13.898,11.456,11.456,2.442,"[9.0139999999999993, 13.898]",,,,,,,,
access to financial services,akses untuk jasa keuangan,,4,3,3,1,"2,945","29,449",2,1,0,2,35.354,35.354,35.354,35.354,0,[35.353999999999999],,,,,,,,
access to financial services,akses pada layanan finansial,,4,3,4,1,"2,945","29,449",2,1,0,2,"590,972,222","590,972,222","590,972,222","590,972,222",0,[13.710000000000001],,,,,,,,
access to financial services,akses layanan keuangan,,3,3,3,1,"2,945","29,449",2,1,0,2,"513,194,444","513,194,444","513,194,444","513,194,444",0,[11.789999999999999],,,,,,,,
access to financial services,akses menuju layanan finansial,,4,4,4,1,"2,945","29,449",2,1,0,2,11.122,11.122,11.122,11.122,0,[11.122],,,,,,,,
access to financial services,akses layanan finansial,,4,4,4,1,"2,945","29,449",1,1,0,1,14.795,14.795,14.795,14.795,0,[14.795],,,,,,,,
access to financial services,cara mendapatkan pelayanan keuangan,,4,3,2,1,"2,945","29,449",1,1,0,1,89.026,89.026,89.026,89.026,0,[89.02600000000001],,,,,,,,
access to financial services,akses terhadap pelayanan keuangan,,4,3,4,1,"2,945","29,449",1,1,0,1,20.786,20.786,20.786,20.786,0,[20.785999999999998],,,,,,,,
access to financial services,akses untuk layanan finansial,,4,3,4,1,"2,945","29,449",1,"0,5",1,0,14.373,14.373,14.373,14.373,0,[14.372999999999999],,,,,,,,
access to productive assets,akses ke aset produktif,,4,5,5,4,"11,780","117,796",7,1,0,7,8.852,23.301,1.346.975,10.863,5.736.430.745,"[8.8520000000000003, 10.690999999999999, 11.035, 23.300999999999998]",,,,,,,,
access to productive assets,akses terhadap aset produktif,,3,4,5,3,"8,835","88,347",6,1,0,6,8.239,14.751,1.248.833.333,14.475,3.006.844.341,"[8.238999999999999, 14.475, 14.750999999999999]",,,,,,,,
access to productive assets,akses untuk akses yang produtif,,3,3,3,1,"2,945","29,449",2,1,0,2,47.602,47.602,47.602,47.602,0,[47.601999999999997],,,,,,,,
access to productive assets,akses untuk aset produktif,,4,4,4,1,"2,945","29,449",2,1,0,2,12.657,12.657,12.657,12.657,0,[12.657],,,,,,,,
access to productive assets,akses untuk produktivitas aset,,3,2,2,1,"2,945","29,449",2,1,0,2,16.047,16.047,16.047,16.047,0,[16.047000000000001],,,,,,,,
access to productive assets,akses menuju aset produktif,,3,2,2,1,"2,945","29,449",2,1,0,2,30.787,30.787,30.787,30.787,0,[30.786999999999999],,,,,,,,
access to productive assets,akses pada aset produktif,,2,3,2,1,"2,945","29,449",2,1,0,2,23.037,23.037,23.037,23.037,0,[23.036999999999999],,,,,,,,
access to productive assets,akses menuju hal yang peroduktif,,2,2,2,1,"2,945","29,449",1,1,0,1,21.263,21.263,21.263,21.263,0,[21.263000000000002],,,,,,,,
accessible vacant land,lahan kosong yang dapat diakses,3,5,5,5,4,"11,780","117,796",7,1,0,7,9.503,25.692,1.604.275,14.488,5.977.634.749,"[13.435, 25.691999999999997, 15.540999999999999, 9.5030000000000001]",,,,,,,,
accessible vacant land,tanah kosong yang dapat diakses,,5,5,5,4,"11,780","117,796",7,1,0,7,8.45,68.837,25.05.00,114.565,2.534.193.149,"[9.6639999999999997, 68.837000000000003, 8.4499999999999993, 13.249000000000001]",,,,,,,,
accessible vacant land,lahan kosong yang mudah diakses,,5,4,3,2,"5,890","58,898",4,1,0,4,9.804,14.776,12.29,12.29,2.486,"[9.8040000000000003, 14.776]",,,,,,,,
accessible vacant land,tanah yang dapat digunakan dan diakses,,4,4,4,1,"2,945","29,449",2,1,0,2,18.989,18.989,18.989,18.989,0,[18.989000000000001],,,,,,,,
accessible vacant land,lahan kosong yang dapat digunakan,,5,4,5,1,"2,945","29,449",2,1,0,2,118.34.00,118.34.00,118.34.00,118.34.00,0,[118.34],,,,,,,,
accessible vacant land,lahan kosong yang mudah dijangkau,,3,4,3,1,"2,945","29,449",2,1,0,2,11.396,11.396,11.396,11.396,0,[11.395999999999999],,,,,,,,
accessible vacant land,tanah kosong,,2,2,2,1,"2,945","29,449",1,"0,5",1,0,13.857,13.857,13.857,13.857,0,[13.857000000000001],,,,,,,,
accessible vacant land,s,,1,1,1,1,"2,945","29,449",0,0,2,-2,2.234,2.234,2.234,2.234,0,[2.234],,,,,,,,
accident,kecelakaan,3,5,5,5,14,"41,229","412,286",28,1,0,28,5.287,22.398,9.258.785.714,69.685,4.589.801.586,"[5.7709999999999999, 6.1739999999999995, 9.4589999999999996, 5.2870000000000008, 7.0739999999999998, 5.8410000000000002, 6.8629999999999995, 22.398000000000003, 11.527999999999999, 12.812999999999999, 5.9989999999999997, 12.669, 12.210000000000001, 5.5370000000000008]",,,,,,,,
accident,kejadian,,1,1,1,1,"2,945","29,449",1,1,0,1,7.827,7.827,7.827,7.827,0,[7.8270000000000008],,,,,,,,
accurate hazards identification,identifikasi bahaya yang akurat,3,4,5,4,5,"14,725","147,245",10,1,0,10,9.545,33.387,194.822,"68,125",8.689.765.276,"[9.5449999999999999, 13.337, 25.331999999999997, 15.81, 33.387]",,,,,,,,
accurate hazards identification,identifikasi bahaya akurat,,4,4,4,3,"8,835","88,347",5,"833,333,333",1,4,8.499,31.617,1.701.133.333,10.918,1.037.487.395,"[10.917999999999999, 8.4990000000000006, 31.616999999999997]",,,,,,,,
accurate hazards identification,identifikasi bahaya dengan akurat,,4,4,4,1,"2,945","29,449",2,1,0,2,16.116,16.116,16.116,16.116,0,[16.116],,,,,,,,
accurate hazards identification,pengidentifikasian bencana yang tepat,,5,4,5,1,"2,945","29,449",2,1,0,2,30.297,30.297,30.297,30.297,0,[30.296999999999997],,,,,,,,
accurate hazards identification,pengidentifikasian bahaya yang akurat,,5,5,5,1,"2,945","29,449",2,1,0,2,29.82,29.82,29.82,29.82,0,[29.82],,,,,,,,
accurate hazards identification,akurasi identifikasi bahaya,,2,2,3,1,"2,945","29,449",2,1,0,2,32.317,32.317,32.317,32.317,0,[32.317],,,,,,,,
accurate hazards identification,identifkasi akurat bahaya,,1,3,1,1,"2,945","29,449",2,1,0,2,17.453,17.453,17.453,17.453,0,[17.452999999999999],,,,,,,,
across sectors,lintas sektor,3,5,5,5,9,"26,504","265,041",16,1,0,16,3.516,18.492,1.077.011.111,9.372,5.400.959.718,"[7.8250000000000002, 5.9199999999999999, 6.1679999999999993, 10.366, 18.492000000000001, 17.132000000000001, 9.3719999999999999, 18.140000000000001, 3.516]",,,,,,,,
across sectors,antar sektor,,5,5,5,2,"5,890","58,898",4,1,0,4,7.505,10.698,91.015,91.015,15.965,"[10.698, 7.5049999999999999]",,,,,,,,
across sectors,lintas bidang,,5,4,5,2,"5,890","58,898",3,"0,75",1,2,6.774,20.738,13.756,13.756,6.982,"[6.774, 20.738000000000003]",,,,,,,,
across sectors,antara sektor,,3,2,2,1,"2,945","29,449",2,1,0,2,4.422,4.422,4.422,4.422,0,[4.4219999999999997],,,,,,,,
across sectors,bagian sebrang,,1,1,1,1,"2,945","29,449",2,1,0,2,12.048,12.048,12.048,12.048,0,[12.048],,,,,,,,
across sectors,antar bidang,,1,4,4,1,"2,945","29,449",2,1,0,2,20.07,20.07,20.07,20.07,0,[20.07],,,,,,,,
across sectors,lintas sektoral,,4,4,5,1,"2,945","29,449",2,1,0,2,47.818,47.818,47.818,47.818,0,[47.818000000000005],,,,,,,,
active recreational sports,olahraga rekreasi aktif,1,4,3,3,6,"17,669","176,694",11,1,0,11,10.18,23.101,17.509,179.815,4.495.237.146,"[10.18, 13.962999999999999, 19.468, 23.100999999999999, 16.495000000000001, 21.846999999999998]",,,,,,,,
active recreational sports,olahraga rekreasional aktif,,3,5,3,3,"8,835","88,347",5,1,0,5,14.419,73.977,3.449.633.333,15.093,2.791.840.312,"[15.093, 73.977000000000004, 14.419]",,,,,,,,
active recreational sports,olahraga rekreasi yang aktif,,3,3,3,1,"2,945","29,449",2,1,0,2,32.554,32.554,32.554,32.554,0,[32.554000000000002],,,,,,,,
active recreational sports,olah raga rekreasi aktif,,2,3,3,1,"2,945","29,449",2,1,0,2,91.589,91.589,91.589,91.589,0,[91.588999999999999],,,,,,,,
active recreational sports,olahraga menyenangkan yang aktif,,3,3,3,1,"2,945","29,449",2,1,0,2,69.78,69.78,69.78,69.78,0,[69.780000000000001],,,,,,,,
active recreational sports,aktif rekreasi olahraga,,2,2,1,1,"2,945","29,449",1,"0,5",1,0,80.335,80.335,80.335,80.335,0,[80.334999999999994],,,,,,,,
active recreational sports education program,program pendidikan olahraga rekreasi aktif,1,4,3,3,7,"20,614","206,143",12,"923,076,923",1,11,9.639,42.119,2.499.614.286,22.237,101.762.245,"[22.236999999999998, 42.119, 19.661999999999999, 31.901999999999997, 9.6389999999999993, 17.225999999999999, 32.188000000000002]",,,,,,,,
active recreational sports education program,program pendidikan olahraga aktif rekreasional,,5,4,5,2,"5,890","58,898",4,1,0,4,28.596,119.262,73.929,73.929,45.333,"[28.596, 119.262]",,,,,,,,
active recreational sports education program,program pendidikan keolahragaan dan rekreasi aktif,,4,3,3,1,"2,945","29,449",2,1,0,2,61.073,61.073,61.073,61.073,0,[61.073],,,,,,,,
active recreational sports education program,program edukasi olahraga rekreasi aktif,,4,3,3,1,"2,945","29,449",2,1,0,2,37.035,37.035,37.035,37.035,0,[37.034999999999997],,,,,,,,
active recreational sports education program,program edukasi olahraga hiburan aktif,,2,2,2,1,"2,945","29,449",2,1,0,2,15.304,15.304,15.304,15.304,0,[15.304],,,,,,,,
active recreational sports education program,program aktif rekreasi olahraga dan edukasi,,2,3,2,1,"2,945","29,449",2,1,0,2,34.991,34.991,34.991,34.991,0,[34.991],,,,,,,,
active recreational sports education program,program pendidikan olahraga yang aktif dan rekreatif,,3,3,3,1,"2,945","29,449",2,1,0,2,29.362,29.362,29.362,29.362,0,[29.361999999999998],,,,,,,,
active recreational sports education program,program pendidikan jasmani ringan,,2,1,1,1,"2,945","29,449",1,1,0,1,67.474,67.474,67.474,67.474,0,[67.47399999999999],,,,,,,,
active recreational sports education program,program pengedukasian aktif berolahraga,,2,1,1,1,"2,945","29,449",1,"0,5",1,0,49.329,49.329,49.329,49.329,0,[49.328999999999994],,,,,,,,
active volcanoes,gunung berapi aktif,3,5,5,5,9,"26,504","265,041",18,1,0,18,6.744,17.974,10.889,9.926,3.165.249.507,"[12.107999999999999, 11.777999999999999, 6.7439999999999998, 8.3719999999999999, 13.144, 9.9260000000000002, 17.974, 9.6329999999999991, 8.322000000000001]",,,,,,,,
active volcanoes,gunung api aktif,,5,5,5,1,"2,945","29,449",2,1,0,2,10.385,10.385,10.385,10.385,0,[10.385],,,,,,,,
active volcanoes,gunung merapi yang aktif,,5,2,1,1,"2,945","29,449",2,1,0,2,6.737,6.737,6.737,6.737,0,[6.7370000000000001],,,,,,,,
active volcanoes,gunung merapi aktif,,5,2,1,1,"2,945","29,449",2,1,0,2,6.501,6.501,6.501,6.501,0,[6.5010000000000003],,,,,,,,
active volcanoes,volkano aktif,,5,5,2,1,"2,945","29,449",1,"0,5",1,0,8.353,8.353,8.353,8.353,0,[8.3529999999999998],,,,,,,,
active volcanoes,gunung berapi,,5,2,1,1,"2,945","29,449",1,"0,5",1,0,9.044,9.044,9.044,9.044,0,[9.0440000000000005],,,,,,,,
active-duty education staff,staf pendidikan yang aktif,3,3,4,3,2,"5,890","58,898",4,1,0,4,12.832,51.254,32.043,32.043,19.211,"[12.832000000000001, 51.253999999999998]",,,,,,,,
active-duty education staff,staf pendidik yang bertugas,,5,4,4,1,"2,945","29,449",2,1,0,2,16.216,16.216,16.216,16.216,0,[16.215999999999998],,,,,,,,
active-duty education staff,petugas pendidikan aktif bertugas,,5,5,5,1,"2,945","29,449",2,1,0,2,22.657,22.657,22.657,22.657,0,[22.656999999999996],,,,,,,,
active-duty education staff,tenaga kependidikan aktif,,3,3,4,1,"2,945","29,449",2,1,0,2,37.23.00,37.23.00,37.23.00,37.23.00,0,[37.229999999999997],,,,,,,,
active-duty education staff,staf pendidikan bertugas aktif,,4,3,3,1,"2,945","29,449",2,1,0,2,19.477,19.477,19.477,19.477,0,[19.477],,,,,,,,
active-duty education staff,staf pendidikan yang aktif bertugas,,5,4,4,1,"2,945","29,449",2,1,0,2,18.642,18.642,18.642,18.642,0,[18.641999999999999],,,,,,,,
active-duty education staff,pegawai pendidikan yang sedang dalam tugas,,5,4,4,1,"2,945","29,449",2,1,0,2,71.249,71.249,71.249,71.249,0,[71.248999999999995],,,,,,,,
active-duty education staff,staf pendidikan aktif,,4,4,4,1,"2,945","29,449",2,1,0,2,32.677,32.677,32.677,32.677,0,[32.677],,,,,,,,
active-duty education staff,tenaga pendidikan wajib aktif,,2,2,2,1,"2,945","29,449",1,1,0,1,9.981,9.981,9.981,9.981,0,[9.9809999999999999],,,,,,,,
active-duty education staff,staff pendidikan tugas aktif,,2,2,2,1,"2,945","29,449",1,"0,5",1,0,22.436,22.436,22.436,22.436,0,[22.436],,,,,,,,
active-duty education staff,staf pendidikan tugas aktif,,2,2,2,1,"2,945","29,449",0,0,1,-1,58.175,58.175,58.175,58.175,0,[58.174999999999997],,,,,,,,
active-duty education staff,staf pendidikan dinad aktif,,2,2,2,1,"2,945","29,449",0,0,2,-2,16.578,16.578,16.578,16.578,0,[16.577999999999999],,,,,,,,
acute,akut,3,5,5,5,11,"32,394","323,939",20,"952,380,952",1,19,3.024,10.753,5.096.545.455,4.418,2.286.195.862,"[7.907, 4.4180000000000001, 4.6760000000000002, 3.6110000000000002, 3.4369999999999998, 4.665, 3.0830000000000002, 10.753, 6.5520000000000005, 3.9360000000000004, 3.0239999999999996]",,,,,,,,
acute,parah,,5,5,5,3,"8,835","88,347",5,1,0,5,2.324,525,6.211,4.349,4.148.365.702,"[4.3490000000000002, 2.3239999999999998, 11.960000000000001]",,,,,,,,
acute,gawat,,5,5,5,1,"2,945","29,449",1,"0,5",1,0,36.993,36.993,36.993,36.993,0,[36.993000000000002],,,,,,,,
acute infection,infeksi akut,3,5,5,5,15,"44,174","441,735",27,1,0,27,3.517,15.903,8.411.933.333,"355,555,556",3.278.194.696,"[6.8170000000000002, 9.6129999999999995, 4.827, 5.5229999999999997, 7.9199999999999999, 5.6950000000000003, 15.902999999999999, 7.1620000000000008, 11.93, 10.414999999999999, 9.0950000000000006, 12.31, 5.1029999999999998, 10.349, 3.5169999999999999]",,,,,,,,
acute infection,infeksi parah,,5,5,5,3,"8,835","88,347",5,1,0,5,7.211,13.791,1.051.266.667,10.536,268.632.442,"[10.536, 7.2110000000000003, 13.790999999999999]",,,,,,,,
acute malnutrition,malnutrisi akut,3,5,5,5,14,"41,229","412,286",28,1,0,28,5.058,25.683,1.094.285.714,9.304,5.044.626.559,"[9.8379999999999992, 7.2629999999999999, 8.7699999999999996, 7.1150000000000002, 12.344000000000001, 7.8200000000000003, 12.534000000000001, 15.399000000000001, 10.1, 8.4540000000000006, 15.205, 25.683000000000003, 5.0579999999999998, 7.6170000000000009]",,,,,,,,
acute malnutrition,kekurangan gizi akut,,5,5,5,6,"17,669","176,694",11,1,0,11,6.496,73.408,2.882.533.333,172.585,2.292.508.775,"[17.670999999999999, 6.4960000000000004, 43.387, 15.144, 16.846, 73.408000000000001]",,,,,,,,
acute malnutrition,kurang gizi akut,,5,5,5,5,"14,725","147,245",8,"888,888,889",1,7,7.175,13.166,108.432,12.558,2.548.053.014,"[7.1749999999999998, 8.3559999999999999, 12.558, 13.165999999999999, 12.960999999999999]",,,,,,,,
acute malnutrition,kurang gizi parah,,5,5,5,2,"5,890","58,898",3,1,0,3,"523,611,111",19.598,15.769,15.769,3.829,"[11.94, 19.597999999999999]",,,,,,,,
acute malnutrition,kekurangan nutrisi akut,,5,5,5,2,"5,890","58,898",2,1,0,2,17.069,36.345,26.707,26.707,9.638,"[17.069000000000003, 36.344999999999999]",,,,,,,,
acute malnutrition,kekurangan gizi yang akut,,5,5,5,1,"2,945","29,449",2,1,0,2,9.827,9.827,9.827,9.827,0,[9.827],,,,,,,,
acute malnutrition,gizi buruk akut,,4,4,4,1,"2,945","29,449",2,1,0,2,42.305,42.305,42.305,42.305,0,[42.305],,,,,,,,
acute malnutrition,malnutrisi parah,,4,4,4,1,"2,945","29,449",2,1,0,2,12.595,12.595,12.595,12.595,0,[12.595000000000001],,,,,,,,
acute malnutrition,gejala kekurangan gizi parah,,2,4,4,1,"2,945","29,449",1,1,0,1,30.052,30.052,30.052,30.052,0,[30.052],,,,,,,,
acute malnutrition,malnutrisi tingkat tinggi,,3,4,4,1,"2,945","29,449",1,"0,5",1,0,10.751,10.751,10.751,10.751,0,[10.750999999999999],,,,,,,,
acute respiratory illnesses,penyakit pernapasan akut,3,5,5,5,8,"23,559","235,592",16,1,0,16,8.633,21.212,13.739.875,12.228,475.802.539,"[9.0419999999999998, 16.557000000000002, 8.6329999999999991, 21.212, 11.312999999999999, 20.474, 13.142999999999999, 9.5449999999999999]",,,,,,,,
acute respiratory illnesses,penyakit pernafasan akut,,5,5,5,2,"5,890","58,898",3,1,0,3,11.021,11.652,113.365,113.365,"2,190,972,222","[11.652000000000001, 11.020999999999999]",,,,,,,,
acute respiratory illnesses,penyakit pernapasan yang parah,,5,5,5,1,"2,945","29,449",2,1,0,2,40.394,40.394,40.394,40.394,0,[40.393999999999998],,,,,,,,
acute respiratory illnesses,penyakit-penyakit pernapasan akut,,5,5,5,1,"2,945","29,449",2,1,0,2,25.296,25.296,25.296,25.296,0,[25.295999999999999],,,,,,,,
acute respiratory illnesses,penyakit saluran pernapasan akut,,5,5,5,1,"2,945","29,449",2,1,0,2,18.042,18.042,18.042,18.042,0,[18.042000000000002],,,,,,,,
acute respiratory illnesses,sakit parah,,2,1,1,1,"2,945","29,449",1,"0,5",1,0,55.054,55.054,55.054,55.054,0,[55.053999999999995],,,,,,,,
acute respiratory infection,infeksi pernapasan akut,,5,5,5,7,"20,614","206,143",13,"928,571,429",1,12,8.363,15.639,1.209.142.857,12.922,227.103.418,"[15.639000000000001, 13.305999999999999, 10.207000000000001, 12.922000000000001, 8.3629999999999995, 13.497999999999999, 10.705]",,,,,,,,
acute respiratory infection,infeksi saluran pernafasan akut,3,5,5,5,2,"5,890","58,898",4,1,0,4,9.347,"645,138,889",121.185,121.185,27.715,"[9.3470000000000013, 14.890000000000001]",,,,,,,,
acute respiratory infection,infeksi saluran pernapasan akut (ispa),,5,5,5,1,"2,945","29,449",2,1,0,2,31.822,31.822,31.822,31.822,0,[31.821999999999999],,,,,,,,
acute respiratory infection,infeksi pernafasan akut,,5,5,5,1,"2,945","29,449",2,1,0,2,9.806,9.806,9.806,9.806,0,[9.8060000000000009],,,,,,,,
acute respiratory infection,ispa,,5,5,5,1,"2,945","29,449",0,0,1,-1,5.689,5.689,5.689,5.689,0,[5.6890000000000001],,,,,,,,
acute respiratory infections (aris),infeksi saluran pernapasan akut (ispa),3,5,5,5,5,"14,725","147,245",9,1,0,9,20.593,103.748,45.023,34.208,2.983.585.761,"[34.207999999999998, 20.593000000000004, 103.74799999999999, 35.814999999999998, 30.750999999999998]",,,,,,,,
acute respiratory infections (aris),infeksi pernapasan akut,,5,5,5,2,"5,890","58,898",4,1,0,4,12.29,68.188,40.239,40.239,27.949,"[68.188000000000002, 12.289999999999999]",,,,,,,,
acute respiratory infections (aris),infeksi pernapasan yang parah,,5,5,5,1,"2,945","29,449",2,1,0,2,26.491,26.491,26.491,26.491,0,[26.491],,,,,,,,
acute respiratory infections (aris),infeksi pernafasan akut,,5,5,5,1,"2,945","29,449",2,1,0,2,12.592,12.592,12.592,12.592,0,[12.592000000000001],,,,,,,,
acute respiratory infections (aris),infeksi saluran pernapasan akut,,5,5,5,1,"2,945","29,449",2,1,0,2,15.263,15.263,15.263,15.263,0,[15.263],,,,,,,,
acute respiratory infections (aris),sars,,1,1,1,1,"2,945","29,449",2,1,0,2,13.03,13.03,13.03,13.03,0,[13.029999999999999],,,,,,,,
acute respiratory infections (aris),infeksi saluran pernafasan akut,,5,5,5,1,"2,945","29,449",1,1,0,1,21.585,21.585,21.585,21.585,0,[21.585000000000001],,,,,,,,
adaptation,adaptasi,3,5,1,3,14,"41,229","412,286",25,1,0,25,2.083,79.253,1.108.392.857,51.675,1.910.211.148,"[5.3310000000000004, 79.253, 4.5789999999999997, 9.0120000000000005, 5.9189999999999996, 3.5060000000000002, 3.9730000000000003, 5.0039999999999996, 2.0830000000000002, 6.3410000000000002, 3.0899999999999999, 12.350999999999999, 9.9600000000000009, 4.7729999999999997]",,,,,,,,
adaptation,penyesuaian diri,,5,1,5,2,"5,890","58,898",3,1,0,3,5.627,16.161,10.894,10.894,5.267,"[16.160999999999998, 5.6270000000000007]",,,,,,,,
adaptation,menyesuaikan,,5,3,3,1,"2,945","29,449",2,1,0,2,10.367,10.367,10.367,10.367,0,[10.367000000000001],,,,,,,,
adaptation,penyesuaian,,5,5,5,1,"2,945","29,449",2,1,0,2,39.732,39.732,39.732,39.732,0,[39.731999999999999],,,,,,,,
