source-word,target-word,origin_n_show,origin_total_duration,origin_mean_duration,origin_median_duration,origin_total_vote_up,origin_mean_vote_up,origin_median_vote_up,origin_total_vote_down,origin_mean_vote_down,origin_median_vote_down,origin_n_gram,origin_n_char,origin_n_user,origin_n_diff_translation,origin_readibility,origin_mean_n_gram_translation,origin_mean_n_char_translation,origin_num_most_common_translation,origin_most_common_n_gram,origin_most_common_n_char,origin_word_entropy,translation_n_show,translation_total_duration,translation_mean_duration,translation_median_duration,translation_total_vote_up,translation_mean_vote_up,translation_median_vote_up,translation_total_vote_down,translation_mean_vote_down,translation_median_vote_down,translation_n_gram,translation_n_char,translation_n_user,is_top_translation,translation_lv_distance,translation_jaro_distance,manual_origin_source,manual_assessment
multi sectoral engagement,hubungan lintas sektoral,15,372.321,24.8214,22.829,24,1.6,2.0,3,0.2,0.0,3,25,15,10,3,2.86666666667,25.2,4,3,27,3.10689059561,1,32.41,32.41,32.41,2,2.0,2.0,0,0.0,0.0,3,24,1,0,23,0.586111111111,3.0,5.0
nutrition-related morbidity,angka kesakitan terkait nutrisi,13,505.841,38.9108461538,24.538,21,1.61538461538,2.0,2,0.153846153846,0.0,2,27,13,11,2,3.84615384615,29.3846153846,3,3,26,3.33467914105,1,24.538,24.538,24.538,0,0.0,0.0,1,1.0,1.0,4,31,1,0,26,0.524253285544,3.0,2.0
health centres,puskesmas,14,128.349,9.16778571429,7.7265,24,1.71428571429,2.0,1,0.0714285714286,0.0,2,14,14,2,1,1.92857142857,14.5714285714,13,2,15,0.371232326641,1,6.874,6.874,6.874,1,1.0,1.0,1,1.0,1.0,1,9,1,0,12,0.515873015873,3.0,4.0
agricultural labor system,sistem pekerja pertanian,28,697.537,24.9120357143,18.724,49,1.75,2.0,3,0.107142857143,0.0,3,25,28,12,3,3.53571428571,26.1785714286,14,4,29,2.66243147881,2,31.955,15.9775,15.9775,2,1.0,1.0,1,0.5,0.5,3,24,2,0,24,0.505555555556,3.0,5.0
dead torrential,mati bergelimpangan,11,426.84,38.8036363636,31.714,11,1.0,1.0,8,0.727272727273,1.0,2,15,11,9,1,2.45454545455,16.3636363636,2,3,20,3.095795255,1,92.105,92.105,92.105,2,2.0,2.0,0,0.0,0.0,2,19,1,0,15,0.66432748538,1.0,2.0
catastrophe bonds,obligasi bencana alam,4,212.978,53.2445,59.1225,6,1.5,2.0,2,0.5,0.0,2,17,4,4,1,2.5,18.75,1,2,14,2.0,1,62.001,62.001,62.001,2,2.0,2.0,0,0.0,0.0,3,21,1,0,19,0.438842203548,3.0,1.0
diseases,wabah,19,135.561,7.13478947368,7.289,34,1.78947368421,2.0,0,0.0,0.0,1,8,19,4,1,1.05263157895,8.26315789474,16,1,8,0.879506460812,1,9.706,9.706,9.706,2,2.0,2.0,0,0.0,0.0,1,5,1,0,7,0.441666666667,3.0,3.0
Brunei,negara brunei,19,188.064,9.89810526316,6.725,34,1.78947368421,2.0,3,0.157894736842,0.0,1,6,19,6,0,1.31578947368,9.21052631579,11,1,6,,1,5.762,5.762,5.762,1,1.0,1.0,1,1.0,1.0,2,13,1,0,7,0.465811965812,,5.0
public awareness raising,meningkatnya kesadaran masyarakat,20,517.18,25.859,24.2365,34,1.7,2.0,6,0.3,0.0,3,24,20,14,2,2.95,30.45,4,3,32,3.58418371978,1,38.871,38.871,38.871,2,2.0,2.0,0,0.0,0.0,3,33,1,0,27,0.550144300144,1.0,5.0
sociocultural variability,diversitas sosiokultural,11,358.47,32.5881818182,18.716,16,1.45454545455,2.0,2,0.181818181818,0.0,2,25,11,10,2,2.72727272727,25.0909090909,2,3,28,3.27761343682,1,65.608,65.608,65.608,1,1.0,1.0,1,1.0,1.0,2,24,1,0,22,0.639248366013,3.0,4.0
drainage structures,struktur pembuangan,10,136.789,13.6789,11.0775,15,1.5,1.5,1,0.1,0.0,2,19,10,3,1,2.0,17.1,8,2,17,0.921928094887,1,7.757,7.757,7.757,2,2.0,2.0,0,0.0,0.0,2,19,1,0,18,0.483709273183,3.0,5.0
relocate,"relokasi, pemindahan lokasi",17,308.022,18.1189411765,11.647,31,1.82352941176,2.0,1,0.0588235294118,0.0,1,8,17,9,1,1.41176470588,11.8235294118,8,1,8,2.55805107654,1,9.925,9.925,9.925,2,2.0,2.0,0,0.0,0.0,3,27,1,0,21,0.657407407407,3.0,5.0
Planned temporary settlements,penyelesaian sementara yang terencana,11,278.927,25.357,23.085,19,1.72727272727,2.0,2,0.181818181818,0.0,3,29,11,10,2,3.72727272727,33.7272727273,2,3,29,,1,22.178,22.178,22.178,1,1.0,1.0,1,1.0,1.0,4,37,1,0,26,0.632889943235,,5.0
deck truss bridges,jembatan betgeladak,5,160.974,32.1948,31.499,4,0.8,1.0,4,0.8,1.0,3,18,5,5,0,2.2,16.6,1,2,19,2.32192809489,1,33.752,33.752,33.752,0,0.0,0.0,2,2.0,2.0,2,19,1,0,16,0.490531885269,1.0,3.0
distress,tekanan,18,368.732,20.4851111111,14.762,34,1.88888888889,2.0,0,0.0,0.0,1,8,18,9,1,1.11111111111,9.33333333333,9,1,9,2.64112093381,1,8.176,8.176,8.176,2,2.0,2.0,0,0.0,0.0,1,7,1,0,8,0.422619047619,3.0,1.0
stern warning,peringatan yang keras,16,416.362,26.022625,19.5585,31,1.9375,2.0,0,0.0,0.0,2,13,16,3,1,2.0625,16.3125,14,2,16,0.6685644432,1,32.575,32.575,32.575,1,1.0,1.0,0,0.0,0.0,3,21,1,0,16,0.61514041514,3.0,5.0
tornado damage,kerusakan akibat tornado,18,357.408,19.856,13.215,32,1.77777777778,2.0,1,0.0555555555556,0.0,2,14,18,12,1,2.94444444444,22.2777777778,7,2,17,3.07817586509,1,11.695,11.695,11.695,2,2.0,2.0,0,0.0,0.0,3,24,1,0,19,0.503968253968,1.0,3.0
damaged hurricane,badai yang rusak,17,631.037,37.1198235294,17.752,23,1.35294117647,1.0,10,0.588235294118,0.0,2,17,17,12,2,2.82352941176,18.0,5,3,18,3.28689575452,1,8.504,8.504,8.504,2,2.0,2.0,0,0.0,0.0,3,16,1,0,13,0.54915577342,1.0,3.0
waiting hurricane,badai menunggu,12,332.429,27.7024166667,11.4855,21,1.75,2.0,1,0.0833333333333,0.0,2,17,12,6,2,2.41666666667,16.3333333333,4,2,14,2.35538854221,1,13.54,13.54,13.54,2,2.0,2.0,0,0.0,0.0,2,14,1,0,14,0.542016806723,1.0,3.0
donated victims,korban yang disumbang,15,232.238,15.4825333333,15.061,22,1.46666666667,2.0,5,0.333333333333,0.0,2,15,15,13,2,2.86666666667,21.6,2,3,24,3.64022392894,1,25.121,25.121,25.121,2,2.0,2.0,0,0.0,0.0,3,21,1,0,17,0.513095238095,1.0,3.0
critical-incident stress (CIS),stres karena insiden kritis,9,228.068,25.3408888889,22.921,15,1.66666666667,2.0,3,0.333333333333,0.0,3,30,9,9,1,3.66666666667,25.4444444444,1,3,22,,1,22.921,22.921,22.921,2,2.0,2.0,0,0.0,0.0,4,27,1,0,22,0.621117608837,,5.0
capitalizing,sistem penulisan huruf besar,18,337.888,18.7715555556,15.51,31,1.72222222222,2.0,1,0.0555555555556,0.0,1,12,18,5,1,1.16666666667,13.2222222222,13,1,12,1.3862740939,1,24.479,24.479,24.479,0,0.0,0.0,1,1.0,1.0,4,28,1,0,24,0.515873015873,3.0,5.0
local wisdom,nasehat lokal,18,280.707,15.5948333333,10.1045,31,1.72222222222,2.0,4,0.222222222222,0.0,2,12,18,8,2,2.0,15.3333333333,10,2,14,2.21329828206,1,8.942,8.942,8.942,2,2.0,2.0,0,0.0,0.0,2,13,1,0,12,0.463675213675,3.0,5.0
climate and weather information services,badan informasi cuaca dan iklim,16,385.027,24.0641875,19.958,29,1.8125,2.0,1,0.0625,0.0,5,40,16,10,3,4.9375,32.1875,5,5,33,3.02439747035,1,20.283,20.283,20.283,2,2.0,2.0,0,0.0,0.0,5,31,1,0,31,0.666397849462,3.0,4.0
entire community,keseluruhan komunitas,21,324.965,15.4745238095,13.431,39,1.85714285714,2.0,2,0.0952380952381,0.0,2,16,21,8,2,2.04761904762,17.9047619048,9,2,18,2.29521742195,1,13.431,13.431,13.431,2,2.0,2.0,0,0.0,0.0,2,21,1,0,13,0.646194083694,3.0,5.0
volcano eruption,erupsi vulkanis,20,324.69,16.2345,12.9055,34,1.7,2.0,2,0.1,0.0,2,16,20,10,2,2.85,19.45,7,3,21,2.83935387217,1,15.006,15.006,15.006,1,1.0,1.0,0,0.0,0.0,2,15,1,0,15,0.491865079365,3.0,5.0
congregational prayer,doa jamaah,17,540.776,31.8103529412,24.983,26,1.52941176471,2.0,5,0.294117647059,0.0,2,21,17,8,1,2.0,12.7647058824,4,2,14,2.82218195864,2,83.305,41.6525,41.6525,3,1.5,1.5,1,0.5,0.5,2,10,2,0,17,0.530158730159,3.0,3.0
public shelters,tempat bernaung publik,21,532.755,25.3692857143,14.947,34,1.61904761905,2.0,3,0.142857142857,0.0,2,15,21,16,1,2.66666666667,20.8571428571,5,3,23,3.74423930495,1,31.842,31.842,31.842,2,2.0,2.0,0,0.0,0.0,3,22,1,0,20,0.465656565657,3.0,4.0
force major,kekuatan utama,9,220.661,24.5178888889,20.272,11,1.22222222222,1.0,6,0.666666666667,0.0,2,11,9,9,0,2.33333333333,15.6666666667,1,2,13,3.16992500144,1,22.696,22.696,22.696,2,2.0,2.0,0,0.0,0.0,2,14,1,0,13,0.46645021645,1.0,5.0
immediate needs,keperluan yang harus segera dipenuhi,22,401.385,18.2447727273,15.977,39,1.77272727273,2.0,3,0.136363636364,0.0,2,15,22,9,1,2.27272727273,18.9090909091,12,2,18,2.32217934552,1,18.306,18.306,18.306,2,2.0,2.0,0,0.0,0.0,5,36,1,0,30,0.505555555556,3.0,5.0
transport,ngangkut,20,315.923,15.79615,11.999,33,1.65,2.0,4,0.2,0.0,1,9,20,11,1,1.0,9.8,7,1,12,2.93935387217,1,59.573,59.573,59.573,0,0.0,0.0,1,1.0,1.0,1,8,1,0,6,0.458333333333,3.0,5.0
pandemics,tentang penyakit,13,243.423,18.7248461538,6.682,24,1.84615384615,2.0,1,0.0769230769231,0.0,1,9,13,7,1,1.23076923077,8.76923076923,4,1,7,2.46967048737,1,21.766,21.766,21.766,2,2.0,2.0,0,0.0,0.0,2,16,1,0,13,0.395833333333,,2.0
send prayers,kirim doa,12,177.899,14.8249166667,9.2505,21,1.75,2.0,1,0.0833333333333,0.0,2,12,12,6,0,1.91666666667,12.8333333333,5,2,12,2.221251836,1,7.241,7.241,7.241,2,2.0,2.0,0,0.0,0.0,2,9,1,0,11,0.509259259259,1.0,5.0
exposed assets,aset yang terungkap,19,507.152,26.6922105263,23.589,29,1.52631578947,2.0,5,0.263157894737,0.0,2,14,19,15,2,2.78947368421,17.7894736842,3,3,18,3.7871439607,1,60.792,60.792,60.792,2,2.0,2.0,0,0.0,0.0,3,19,1,0,17,0.52589807853,1.0,3.0
multi-hazard early warning systems,sistem peringatan dini  terhadap ragam bahaya,13,288.029,22.1560769231,18.888,24,1.84615384615,2.0,1,0.0769230769231,0.0,4,34,13,10,3,4.76923076923,36.4615384615,3,4,35,3.18083298721,1,35.774,35.774,35.774,2,2.0,2.0,0,0.0,0.0,7,45,1,0,37,0.59362745098,3.0,5.0
following explosion,berikut ledakan,15,179.73,11.982,9.4,28,1.86666666667,2.0,1,0.0666666666667,0.0,2,19,15,8,1,2.0,16.2,6,2,15,2.60623892865,1,7.314,7.314,7.314,2,2.0,2.0,0,0.0,0.0,2,15,1,0,17,0.398830409357,3.0,3.0
hazard-resistant construction,konstruksi anti bahaya,10,292.656,29.2656,18.8325,17,1.7,2.0,3,0.3,0.0,2,29,10,4,2,3.0,23.0,4,3,23,1.84643934467,2,27.108,13.554,13.554,3,1.5,1.5,1,0.5,0.5,3,22,2,0,24,0.514193660745,3.0,5.0
capacity building,peningkatan kemampuan,16,221.501,13.8438125,12.329,28,1.75,2.0,3,0.1875,0.0,2,17,16,8,1,2.0625,20.0,6,2,21,2.60845859334,1,29.749,29.749,29.749,2,2.0,2.0,0,0.0,0.0,2,21,1,0,19,0.492180205415,3.0,5.0
homeless people,gembel,16,232.439,14.5274375,11.0865,25,1.5625,2.0,3,0.1875,0.0,2,15,16,8,1,2.1875,15.4375,8,1,9,2.375,1,16.101,16.101,16.101,2,2.0,2.0,0,0.0,0.0,1,6,1,0,12,0.477777777778,3.0,5.0
multi sectoral engagement,keterkaitan multi sektoral,15,372.321,24.8214,22.829,24,1.6,2.0,3,0.2,0.0,3,25,15,10,3,2.86666666667,25.2,4,3,27,3.10689059561,1,13.615,13.615,13.615,1,1.0,1.0,0,0.0,0.0,3,26,1,0,23,0.672361673414,3.0,3.0
inject cash,menyuntik dana,14,294.264,21.0188571429,13.848,26,1.85714285714,2.0,1,0.0714285714286,0.0,2,11,14,9,1,2.35714285714,16.2142857143,4,2,13,2.89629152905,1,15.139,15.139,15.139,2,2.0,2.0,0,0.0,0.0,2,14,1,0,10,0.537229437229,1.0,3.0
climate change policy,ketentuan perubahan iklim,16,295.506,18.469125,16.109,27,1.6875,2.0,3,0.1875,0.0,3,21,16,4,2,3.0,25.0,13,3,25,0.99339272901,1,31.159,31.159,31.159,2,2.0,2.0,0,0.0,0.0,3,25,1,0,20,0.544920634921,3.0,3.0
food-for-work,asupan energi,14,282.393,20.1709285714,16.058,20,1.42857142857,1.5,4,0.285714285714,0.0,1,13,14,8,1,3.0,20.0714285714,6,3,21,2.55665670746,1,50.621,50.621,50.621,1,1.0,1.0,0,0.0,0.0,2,13,1,0,13,0.384615384615,1.0,3.0
generous donation,donasi dermawan,16,408.786,25.549125,13.8925,31,1.9375,2.0,0,0.0,0.0,2,17,16,12,2,2.4375,18.3125,3,2,18,3.45281953111,1,24.953,24.953,24.953,2,2.0,2.0,0,0.0,0.0,2,15,1,0,13,0.56165577342,3.0,5.0
essential trauma care,penanganan trauma dasar,21,834.123,39.7201428571,27.287,31,1.47619047619,2.0,3,0.142857142857,0.0,3,21,21,14,2,3.33333333333,25.9523809524,6,3,24,3.4273334939,1,75.721,75.721,75.721,1,1.0,1.0,0,0.0,0.0,3,23,1,0,12,0.62552423422,3.0,4.0
donates,bantuan,23,231.285,10.0558695652,8.547,36,1.5652173913,2.0,7,0.304347826087,0.0,1,7,23,7,1,1.0,9.08695652174,9,1,10,2.39774226086,2,15.712,7.856,7.856,1,0.5,0.5,2,1.0,1.0,1,7,2,0,6,0.507936507937,3.0,4.0
non-sensitive disaster risk information,informasi risiko bencana nonsensitif,13,309.097,23.7766923077,22.763,24,1.84615384615,2.0,1,0.0769230769231,0.0,4,39,13,9,3,5.69230769231,43.3846153846,5,6,44,2.80739045088,1,23.108,23.108,23.108,1,1.0,1.0,1,1.0,1.0,4,36,1,0,32,0.711965811966,1.0,2.0
trafficking,jual beli,20,423.005,21.15025,12.8935,32,1.6,2.0,5,0.25,0.0,1,11,20,9,1,1.2,11.9,11,1,11,2.48499609873,1,6.762,6.762,6.762,2,2.0,2.0,0,0.0,0.0,2,9,1,0,9,0.468013468013,3.0,4.0
temporary shelter,tempat tinggal sementara,19,343.305,18.0686842105,11.187,32,1.68421052632,2.0,2,0.105263157895,0.0,2,17,19,11,2,2.47368421053,23.2631578947,6,2,21,3.076103171,1,6.899,6.899,6.899,1,1.0,1.0,0,0.0,0.0,3,24,1,0,15,0.679738562092,3.0,5.0
lives hurricane,badai yang bergelora,6,167.267,27.8778333333,12.5445,11,1.83333333333,2.0,1,0.166666666667,0.0,2,15,6,6,1,2.16666666667,14.3333333333,1,2,15,2.58496250072,1,105.201,105.201,105.201,2,2.0,2.0,0,0.0,0.0,3,20,1,0,17,0.519444444444,1.0,3.0
water supply and treatment,pengendalian dan penyediaan air,13,449.356,34.5658461538,20.064,25,1.92307692308,2.0,1,0.0769230769231,0.0,4,26,13,12,2,4.0,28.0769230769,2,4,29,3.54659356429,1,50.198,50.198,50.198,1,1.0,1.0,1,1.0,1.0,4,31,1,0,26,0.596822848246,3.0,5.0
national circumstances,kondisi dalam negeri,14,385.686,27.549,20.3855,27,1.92857142857,2.0,1,0.0714285714286,0.0,2,22,14,6,2,2.07142857143,16.3571428571,6,2,16,2.21702188588,1,24.226,24.226,24.226,2,2.0,2.0,0,0.0,0.0,3,20,1,0,19,0.593123543124,3.0,5.0
expansion of pests and diseases,penyebaran pes dan penyakit-penyakit,15,500.612,33.3741333333,30.293,24,1.6,2.0,5,0.333333333333,0.0,5,31,15,10,2,3.6,26.6,4,4,28,3.10689059561,1,20.292,20.292,20.292,2,2.0,2.0,0,0.0,0.0,4,36,1,0,27,0.590753316984,1.0,1.0
a sudden-onset disaster,bencana yang tiba-tiba terjadi,8,232.935,29.116875,26.394,14,1.75,2.0,2,0.25,0.0,3,23,8,6,2,4.0,29.375,2,5,37,2.5,1,17.411,17.411,17.411,2,2.0,2.0,0,0.0,0.0,4,30,1,0,23,0.548930296756,3.0,5.0
flood years,era banjir,13,109.824,8.448,8.733,20,1.53846153846,2.0,5,0.384615384615,0.0,2,11,13,6,0,2.0,14.0769230769,4,2,12,2.31582433353,1,8.733,8.733,8.733,2,2.0,2.0,0,0.0,0.0,2,10,1,0,10,0.524242424242,1.0,3.0
thin biologic slime,cairan biologis tipis,13,321.786,24.7527692308,22.542,25,1.92307692308,2.0,1,0.0769230769231,0.0,3,19,13,7,1,3.15384615385,21.9230769231,6,3,21,2.35353394858,1,14.592,14.592,14.592,2,2.0,2.0,0,0.0,0.0,3,21,1,0,10,0.74211168948,1.0,1.0
extreme weather events,saat cuaca ekstrim,21,322.204,15.343047619,13.747,35,1.66666666667,2.0,3,0.142857142857,0.0,3,22,21,10,1,2.85714285714,21.1428571429,6,3,22,2.97448706512,1,40.678,40.678,40.678,2,2.0,2.0,0,0.0,0.0,3,18,1,0,19,0.477693602694,3.0,2.0
flood powerful,banjir besar,14,320.194,22.871,13.456,26,1.85714285714,2.0,1,0.0714285714286,0.0,2,14,14,10,0,2.5,15.5,2,2,14,3.23592635063,1,21.007,21.007,21.007,2,2.0,2.0,0,0.0,0.0,2,12,1,0,13,0.376984126984,1.0,3.0
improve accountability,mengembangkan akuntabilitad,20,378.703,18.93515,13.718,33,1.65,2.0,3,0.15,0.0,2,22,20,8,1,2.15,26.4,9,2,26,2.31497982052,1,6.301,6.301,6.301,0,0.0,0.0,1,1.0,1.0,2,27,1,0,17,0.61387378054,3.0,5.0
urban site management services,layanan manajemen situs urban,11,279.81,25.4372727273,17.315,21,1.90909090909,2.0,1,0.0909090909091,0.0,4,30,11,8,3,4.18181818182,34.8181818182,4,4,35,2.91829583405,1,8.586,8.586,8.586,2,2.0,2.0,0,0.0,0.0,4,29,1,0,20,0.592081736909,3.0,5.0
risk assessment,penaksiran resiko,19,364.891,19.2047894737,12.756,34,1.78947368421,2.0,2,0.105263157895,0.0,2,15,19,10,1,2.10526315789,16.5263157895,7,2,16,2.79258622637,1,14.956,14.956,14.956,2,2.0,2.0,0,0.0,0.0,2,17,1,0,15,0.618300653595,3.0,5.0
