username,source-word,target-word,user_point,user_is_male,user_is_female,user_is_age_0,user_is_age_15,user_is_age_20,user_is_age_25,user_is_age_30,user_is_age_35,user_is_age_40,user_languages,user_number_duration_played,user_mean_duration_played,user_median_duration_played,user_total_duration_played,user_number_time_to_translate,user_mean_time_to_translate,user_median_time_to_translate,user_total_time_to_translate,user_number_time_to_alternate,user_mean_time_to_alternate,user_median_time_to_alternate,user_total_time_to_alternate,user_number_time_to_vote_up,user_mean_time_to_vote_up,user_median_time_to_vote_up,user_total_time_to_vote_up,user_number_time_to_vote_down,user_mean_time_to_vote_down,user_median_time_to_vote_down,user_total_time_to_vote_down,user_number_time_to_categorize,user_mean_time_to_categorize,user_median_time_to_categorize,user_total_time_to_categorize,user_number_skip_translate,user_mean_skip_translate,user_median_skip_translate,user_total_skip_translate,user_number_skip_alternate,user_mean_skip_alternate,user_median_skip_alternate,user_total_skip_alternate,user_number_skip_vote,user_mean_skip_vote,user_median_skip_vote,user_total_skip_vote,user_number_skip_categorize,user_mean_skip_categorize,user_median_skip_categorize,user_total_skip_categorize,origin_n_show,origin_total_duration,origin_mean_duration,origin_median_duration,origin_total_vote_up,origin_mean_vote_up,origin_median_vote_up,origin_total_vote_down,origin_mean_vote_down,origin_median_vote_down,origin_n_gram,origin_n_char,origin_n_user,origin_n_diff_translation,origin_readibility,origin_mean_n_gram_translation,origin_mean_n_char_translation,origin_num_most_common_translation,origin_most_common_n_gram,origin_most_common_n_char,origin_word_entropy,translation_n_show,translation_total_duration,translation_mean_duration,translation_median_duration,translation_total_vote_up,translation_mean_vote_up,translation_median_vote_up,translation_total_vote_down,translation_mean_vote_down,translation_median_vote_down,translation_n_gram,translation_n_char,translation_n_user,action_duration,action_vote_up,action_vote_down,is_top_translation,translation_lv_distance,translation_jaro_distance,manual_origin_source,manual_assessment
jennyhrmt,physician,fisikawan,315,0,1,0,1,0,0,0,0,0,1,1,844.38,844.38,844.38,8,34.63,29.85,277.07,6,23.91,23.73,143.49,3,12.39,11.87,37.18,1,11.05,11.05,11.05,4,29.44,33.4,117.75,3,6.14,2.66,18.41,4,3.49,1.93,13.98,6,12.02,10.75,72.12,3,42.24,41.42,126.72,21,294.947,14.0450952381,9.393,31,1.47619047619,2.0,7,0.333333333333,0.0,1,9,21,7,1,1.2380952381,7.57142857143,12,1,6,2.02210611274,2,16.701,8.3505,8.3505,2,1.0,1.0,2,1.0,1.0,1,9,2,7.308,1,1,0,6,0.637037037037,1.0,1.0
gbputra,institutional structures,susunan kelembagaan,9410,1,0,0,0,1,0,0,0,0,2,23,583.89,320.75,13429.56,206,23.0,15.85,4738.06,184,20.73,15.27,3814.03,176,4.45,2.88,782.4,18,9.83,7.56,176.94,194,7.81,5.53,1514.77,12,25.98,25.91,311.77,8,29.27,21.62,234.19,4,28.13,26.12,112.53,5,31.51,24.56,157.53,22,440.124,20.0056363636,13.6255,39,1.77272727273,2.0,0,0.0,0.0,2,24,22,7,2,2.0,19.7272727273,9,2,20,2.27129682375,1,8.51,8.51,8.51,2,2.0,2.0,0,0.0,0.0,2,19,1,8.51,2,0,0,20,0.459795321637,3.0,5.0
pnrj,emotionally draining,terpuruk secara emosional,463845,0,1,0,0,0,1,0,0,0,1,1214,740.8,392.64,899331.38,2017,17.84,14.69,35974.45,3531,14.09,11.16,49739.6,48081,2.45,1.42,117676.27,2638,4.61,3.07,12158.73,9556,4.67,3.38,44629.81,5053,5.16,2.64,26066.77,38522,5.02,3.25,193242.8,5430,4.96,2.79,26911.79,46494,4.89,3.25,227132.94,16,346.679,21.6674375,19.894,27,1.6875,2.0,2,0.125,0.0,2,20,16,8,2,2.4375,18.5,8,2,14,2.375,1,29.129,29.129,29.129,2,2.0,2.0,0,0.0,0.0,3,25,1,29.129,2,0,0,21,0.49,3.0,4.0
yudizt,water purification tablets,tablet penjernihan air,656085,1,0,0,0,1,0,0,0,0,1,368,957.98,523.15,352535.29,1886,11.41,8.42,21525.26,17285,5.76,3.54,99647.53,19035,2.25,1.23,42853.86,473,4.7,3.13,2225.02,19206,4.48,2.99,85951.94,1722,4.47,1.93,7702.2,2037,4.16,2.05,8468.38,251,9.51,6.06,2387.39,330,10.05,6.05,3316.42,16,420.634,26.289625,15.397,30,1.875,2.0,1,0.0625,0.0,3,26,16,7,1,3.1875,21.25,7,3,20,2.34960175271,1,30.981,30.981,30.981,1,1.0,1.0,1,1.0,1.0,3,22,1,30.981,1,1,0,20,0.629703629704,3.0,5.0
astridnadss,disaster sites,daerah bencana,1365,0,1,0,0,1,0,0,0,0,1,1,1871.02,1871.02,1871.02,35,17.56,16.02,614.57,21,25.74,24.71,540.57,26,5.45,4.0,141.72,5,13.66,13.27,68.3,26,8.55,8.5,222.19,0,,,0.0,0,,,0.0,0,,,0.0,12,16.82,6.04,201.82,12,180.019,15.0015833333,13.1825,23,1.91666666667,2.0,0,0.0,0.0,2,14,12,9,1,2.5,17.6666666667,3,2,14,3.02205520887,1,9.442,9.442,9.442,2,2.0,2.0,0,0.0,0.0,2,14,1,9.442,2,0,0,13,0.619047619048,3.0,5.0
dhxkx,renovated,memperbarui,2870,0,1,0,1,0,0,0,0,0,2,14,598.67,126.45,8381.38,63,30.51,22.79,1921.97,28,26.15,22.49,732.17,82,10.36,4.64,849.29,17,17.78,16.8,302.23,129,9.18,5.85,1184.17,74,17.95,6.03,1328.34,94,12.13,5.61,1140.06,55,7.02,4.01,386.0,38,11.86,8.28,450.77,17,235.706,13.8650588235,10.671,32,1.88235294118,2.0,2,0.117647058824,0.0,1,9,17,5,1,1.05882352941,9.94117647059,9,1,10,1.93998247436,1,31.207,31.207,31.207,1,1.0,1.0,1,1.0,1.0,1,11,1,31.207,1,1,0,9,0.424242424242,3.0,3.0
yanthie,handy,bantuan,2340,0,1,0,0,0,0,0,1,0,1,8,920.52,499.82,7364.2,48,33.74,20.22,1619.59,60,39.37,30.46,2362.19,39,8.51,3.75,331.8,18,31.71,21.82,570.77,57,8.79,6.89,501.04,1,75.07,75.07,75.07,12,28.9,24.89,346.77,0,,,0.0,2,25.71,25.71,51.43,23,472.099,20.5260434783,14.934,37,1.60869565217,2.0,6,0.260869565217,0.0,1,5,23,10,0,1.21739130435,8.34782608696,13,1,7,2.34505255015,1,14.934,14.934,14.934,0,0.0,0.0,1,1.0,1.0,1,7,1,14.934,0,1,0,5,0.561904761905,2.0,1.0
mardhika,natural phenomena,fenomena alami,4680,0,1,0,0,1,0,0,0,0,1,2,2495.32,2495.32,4990.64,63,22.56,14.31,1421.51,23,26.37,20.76,606.52,42,8.33,5.9,349.74,7,9.13,9.05,63.92,89,10.7,8.65,952.06,59,8.5,6.44,501.39,64,9.08,6.11,581.27,38,5.71,4.31,216.85,18,8.08,7.15,145.38,16,183.258,11.453625,9.407,30,1.875,2.0,1,0.0625,0.0,2,17,16,3,2,2.0,13.1875,13,2,13,0.86839272901,2,25.211,12.6055,12.6055,3,1.5,1.5,1,0.5,0.5,2,14,2,12.241,2,0,0,15,0.612978524743,3.0,5.0
yudizt,damaged basic infrastructure,rusak infrastruktur dasar,656085,1,0,0,0,1,0,0,0,0,1,368,957.98,523.15,352535.29,1886,11.41,8.42,21525.26,17285,5.76,3.54,99647.53,19035,2.25,1.23,42853.86,473,4.7,3.13,2225.02,19206,4.48,2.99,85951.94,1722,4.47,1.93,7702.2,2037,4.16,2.05,8468.38,251,9.51,6.06,2387.39,330,10.05,6.05,3316.42,13,443.994,34.1533846154,28.463,20,1.53846153846,2.0,2,0.153846153846,0.0,3,28,13,6,3,3.46153846154,28.6153846154,6,4,30,2.19968779473,2,39.261,19.6305,19.6305,2,1.0,1.0,1,0.5,0.5,3,25,2,10.798,1,1,0,19,0.657989417989,3.0,1.0
EdwardYo,reunited,dipersatukan kembali,12370,1,0,0,1,0,0,0,0,0,1,20,302.09,219.94,6041.89,322,5.72,5.03,1841.53,159,6.7,5.91,1065.04,372,1.75,1.55,649.9,37,2.28,2.18,84.48,357,2.69,2.42,961.3,67,3.79,1.81,254.15,203,2.27,1.51,460.15,7,0.66,0.55,4.64,23,7.5,2.41,172.56,11,120.937,10.9942727273,8.273,22,2.0,2.0,0,0.0,0.0,1,8,11,5,1,2.0,16.3636363636,6,2,15,1.86763389097,1,4.669,4.669,4.669,2,2.0,2.0,0,0.0,0.0,2,20,1,4.669,2,0,0,16,0.633333333333,3.0,5.0
yudizt,following explosion,berikut ledakan,656085,1,0,0,0,1,0,0,0,0,1,368,957.98,523.15,352535.29,1886,11.41,8.42,21525.26,17285,5.76,3.54,99647.53,19035,2.25,1.23,42853.86,473,4.7,3.13,2225.02,19206,4.48,2.99,85951.94,1722,4.47,1.93,7702.2,2037,4.16,2.05,8468.38,251,9.51,6.06,2387.39,330,10.05,6.05,3316.42,15,179.73,11.982,9.4,28,1.86666666667,2.0,1,0.0666666666667,0.0,2,19,15,8,1,2.0,16.2,6,2,15,2.60623892865,1,7.314,7.314,7.314,2,2.0,2.0,0,0.0,0.0,2,15,1,7.314,2,0,0,17,0.398830409357,3.0,3.0
irf,staple grains,biji-bijian utuh,182375,1,0,0,0,0,0,1,0,0,3,474,627.85,278.04,297602.45,1696,26.12,18.41,44302.98,1668,25.89,20.32,43184.88,7216,3.65,2.09,26327.43,882,7.69,4.14,6784.93,7656,4.72,2.96,36130.79,3657,5.95,2.99,21758.65,5816,6.72,3.3,39098.91,448,9.02,3.83,4040.73,517,6.33,3.03,3271.71,14,402.356,28.7397142857,18.211,22,1.57142857143,2.0,6,0.428571428571,0.0,2,13,14,9,1,2.35714285714,16.4285714286,6,2,13,2.87290559532,1,31.464,31.464,31.464,2,2.0,2.0,0,0.0,0.0,2,16,1,31.464,2,0,0,15,0.352564102564,3.0,5.0
yudizt,flood death,banyaknya kematian,656085,1,0,0,0,1,0,0,0,0,1,368,957.98,523.15,352535.29,1886,11.41,8.42,21525.26,17285,5.76,3.54,99647.53,19035,2.25,1.23,42853.86,473,4.7,3.13,2225.02,19206,4.48,2.99,85951.94,1722,4.47,1.93,7702.2,2037,4.16,2.05,8468.38,251,9.51,6.06,2387.39,330,10.05,6.05,3316.42,12,135.928,11.3273333333,9.962,22,1.83333333333,2.0,1,0.0833333333333,0.0,2,11,12,7,0,2.75,20.0833333333,4,3,22,2.58496250072,1,13.997,13.997,13.997,1,1.0,1.0,1,1.0,1.0,2,18,1,13.997,1,1,0,14,0.445286195286,1.0,3.0
cutdhia,terrible explosion,ledakan yang sangat buruk,24135,0,1,0,0,1,0,0,0,0,1,25,1372.28,1013.92,34307.05,452,23.24,19.82,10506.41,402,25.67,17.85,10317.62,432,5.57,3.59,2404.31,45,15.83,8.91,712.4,464,5.77,4.27,2679.03,12,43.93,28.03,527.21,12,39.78,31.87,477.42,7,37.47,24.12,262.3,26,12.83,10.58,333.71,23,441.245,19.1845652174,11.14,42,1.82608695652,2.0,1,0.0434782608696,0.0,2,18,23,9,1,2.30434782609,16.9130434783,8,2,15,2.75161032553,1,10.661,10.661,10.661,2,2.0,2.0,0,0.0,0.0,4,25,1,10.661,2,0,0,23,0.359259259259,3.0,5.0
pnrj,major flood,banjir terbesar,463845,0,1,0,0,0,1,0,0,0,1,1214,740.8,392.64,899331.38,2017,17.84,14.69,35974.45,3531,14.09,11.16,49739.6,48081,2.45,1.42,117676.27,2638,4.61,3.07,12158.73,9556,4.67,3.38,44629.81,5053,5.16,2.64,26066.77,38522,5.02,3.25,193242.8,5430,4.96,2.79,26911.79,46494,4.89,3.25,227132.94,14,219.589,15.6849285714,7.746,24,1.71428571429,2.0,1,0.0714285714286,0.0,2,11,14,4,0,2.0,12.6428571429,8,2,12,1.61057724333,1,13.342,13.342,13.342,1,1.0,1.0,1,1.0,1.0,2,15,1,13.342,1,1,0,11,0.543434343434,3.0,5.0
Uswah,socio-economic infrastructure repairs,perbaikan pra-sarana ekonomi sosial,3415,0,1,0,0,1,0,0,0,0,1,1,6742.09,6742.09,6742.09,83,28.44,23.44,2360.7,67,31.97,27.09,2141.89,63,5.23,4.77,329.6,8,10.76,7.82,86.06,62,12.48,9.61,773.72,2,7.73,7.73,15.45,0,,,0.0,2,27.91,27.91,55.82,3,24.76,12.63,74.28,17,408.089,24.0052352941,23.023,30,1.76470588235,2.0,1,0.0588235294118,0.0,3,37,17,12,3,3.58823529412,36.6470588235,4,3,38,3.38158048831,1,28.644,28.644,28.644,1,1.0,1.0,0,0.0,0.0,4,35,1,28.644,1,0,0,33,0.563792363792,3.0,5.0
esewele,hurricane coming,badai yang akan datang,5185,1,0,0,0,1,0,0,0,0,2,1,10799.81,10799.81,10799.81,153,28.41,23.08,4347.24,39,34.57,31.36,1348.1,49,5.59,4.25,274.13,93,7.6,5.13,706.89,136,7.24,5.94,985.31,1,36.65,36.65,36.65,92,5.96,2.6,548.6,0,,,0.0,4,32.75,25.18,130.99,18,384.017,21.3342777778,13.739,32,1.77777777778,2.0,1,0.0555555555556,0.0,2,16,18,8,1,2.16666666667,13.7222222222,9,2,12,2.32080208393,1,9.119,9.119,9.119,2,2.0,2.0,0,0.0,0.0,4,22,1,9.119,2,0,0,16,0.382575757576,3.0,5.0
EdwardYo,unsanitary conditions,kondisi tidak steril,12370,1,0,0,1,0,0,0,0,0,1,20,302.09,219.94,6041.89,322,5.72,5.03,1841.53,159,6.7,5.91,1065.04,372,1.75,1.55,649.9,37,2.28,2.18,84.48,357,2.69,2.42,961.3,67,3.79,1.81,254.15,203,2.27,1.51,460.15,7,0.66,0.55,4.64,23,7.5,2.41,172.56,26,492.159,18.9291923077,16.518,46,1.76923076923,2.0,3,0.115384615385,0.0,2,21,26,10,2,3.30769230769,21.5,10,3,19,2.74548120186,1,7.891,7.891,7.891,2,2.0,2.0,0,0.0,0.0,3,20,1,7.891,2,0,0,19,0.612698412698,3.0,5.0
rhafidhaguci,renovated,telah direnovasi,680,0,1,0,0,1,0,0,0,0,2,9,206.85,121.81,1861.64,12,31.03,24.68,372.41,17,17.75,14.66,301.78,18,8.36,7.58,150.52,3,9.87,9.38,29.6,16,19.1,11.92,305.57,11,23.25,17.62,255.72,10,12.34,10.25,123.38,3,12.07,14.52,36.2,0,,,0.0,17,235.706,13.8650588235,10.671,32,1.88235294118,2.0,2,0.117647058824,0.0,1,9,17,5,1,1.05882352941,9.94117647059,9,1,10,1.93998247436,1,14.188,14.188,14.188,2,2.0,2.0,0,0.0,0.0,2,16,1,14.188,2,0,0,11,0.489351851852,3.0,5.0
meenoth,major health hazards,ancaman kesehatan utama,2905,0,1,0,0,1,0,0,0,0,1,2,1965.44,1965.44,3930.89,66,15.56,11.48,1026.91,74,18.53,13.98,1371.58,62,4.54,3.21,281.51,16,8.09,5.87,129.48,67,5.01,4.48,335.39,4,20.07,21.23,80.3,11,20.21,17.18,222.3,1,15.08,15.08,15.08,2,4.19,4.19,8.37,18,409.258,22.7365555556,21.7415,29,1.61111111111,2.0,4,0.222222222222,0.0,3,20,18,11,1,3.16666666667,23.0555555556,6,3,22,3.08604861231,1,24.628,24.628,24.628,0,0.0,0.0,1,1.0,1.0,3,23,1,24.628,0,1,0,19,0.55487483531,3.0,4.0
michelevarelina,temporary settlement,keheningan sementara,1685,0,1,0,1,0,0,0,0,0,2,7,443.03,647.24,3101.24,26,23.47,17.96,610.15,21,29.09,21.86,610.83,35,5.9,5.13,206.37,4,7.19,6.9,28.78,50,7.83,6.75,391.43,19,8.67,6.02,164.67,14,14.16,9.54,198.24,19,7.13,4.65,135.55,5,5.31,3.29,26.56,16,486.711,30.4194375,21.953,25,1.5625,2.0,5,0.3125,0.0,2,20,16,6,1,1.9375,20.25,8,2,22,2.0,1,92.24,92.24,92.24,1,1.0,1.0,1,1.0,1.0,2,20,1,92.24,1,1,0,16,0.566666666667,3.0,1.0
irfankresnadi,confirmed dead,mati,3775,1,0,0,1,0,0,0,0,0,1,5,672.99,487.62,3364.95,75,14.73,11.1,1105.08,35,17.58,14.7,615.26,46,3.99,3.83,183.44,29,5.25,4.77,152.28,93,6.32,5.11,588.14,10,10.03,6.48,100.34,63,6.68,5.13,420.58,4,4.47,3.04,17.88,7,13.61,10.12,95.27,15,245.741,16.3827333333,14.15,28,1.86666666667,2.0,2,0.133333333333,0.0,2,14,15,9,1,2.33333333333,21.4666666667,4,2,22,2.9232314288,1,13.056,13.056,13.056,1,1.0,1.0,1,1.0,1.0,1,4,1,13.056,1,1,0,13,0.380952380952,2.0,3.0
adinezia,emergency planning,perencanaan kondisi gawat darurat,12265,0,1,0,0,0,1,0,0,0,1,4,3303.32,2414.13,13213.29,290,11.38,9.4,3299.7,239,14.5,12.11,3466.56,219,3.45,2.49,754.5,89,4.61,4.14,410.56,364,5.15,4.56,1875.86,40,7.6,4.59,303.97,137,6.77,4.59,928.0,64,3.36,2.87,215.2,3,4.61,4.09,13.84,21,346.966,16.5221904762,11.809,37,1.7619047619,2.0,2,0.0952380952381,0.0,2,18,21,5,2,2.19047619048,19.2380952381,13,2,19,1.54872900324,1,13.923,13.923,13.923,1,1.0,1.0,0,0.0,0.0,4,33,1,13.923,1,0,0,26,0.602823102823,3.0,5.0
pnrj,lives hurricane,badai kehidupan,463845,0,1,0,0,0,1,0,0,0,1,1214,740.8,392.64,899331.38,2017,17.84,14.69,35974.45,3531,14.09,11.16,49739.6,48081,2.45,1.42,117676.27,2638,4.61,3.07,12158.73,9556,4.67,3.38,44629.81,5053,5.16,2.64,26066.77,38522,5.02,3.25,193242.8,5430,4.96,2.79,26911.79,46494,4.89,3.25,227132.94,6,167.267,27.8778333333,12.5445,11,1.83333333333,2.0,1,0.166666666667,0.0,2,15,6,6,1,2.16666666667,14.3333333333,1,2,15,2.58496250072,1,11.853,11.853,11.853,2,2.0,2.0,0,0.0,0.0,2,15,1,11.853,2,0,0,13,0.605555555556,1.0,3.0
ayu,disaster awareness,waspada bencana,770,0,1,0,0,0,0,1,0,0,2,3,663.05,754.52,1989.14,28,17.51,14.7,490.39,9,51.7,55.14,465.28,10,7.0,5.12,70.03,12,9.94,9.18,119.23,22,10.96,10.26,241.19,1,77.3,77.3,77.3,9,23.62,9.75,212.54,1,8.27,8.27,8.27,2,6.54,6.54,13.09,22,400.774,18.217,14.6535,33,1.5,1.5,5,0.227272727273,0.0,2,18,22,12,2,2.54545454545,19.9545454545,7,3,22,3.11163687071,1,14.922,14.922,14.922,1,1.0,1.0,0,0.0,0.0,2,15,1,14.922,1,0,0,14,0.575925925926,3.0,5.0
Cathy,distribution of shelter materials,distribusi material hunian sementara,210,1,0,0,0,0,0,0,0,1,2,1,777.69,777.69,777.69,5,22.87,18.04,114.34,0,,,0.0,11,12.02,6.77,132.26,2,6.02,6.02,12.04,9,26.93,14.17,242.4,2,36.17,36.17,72.33,6,8.1,7.51,48.61,0,,,0.0,2,34.69,34.69,69.38,11,361.588,32.8716363636,24.546,20,1.81818181818,2.0,2,0.181818181818,0.0,4,33,11,10,3,3.90909090909,34.8181818182,2,3,28,3.27761343682,1,49.976,49.976,49.976,2,2.0,2.0,0,0.0,0.0,4,36,1,49.976,2,0,0,23,0.768278018278,3.0,5.0
