source-word,target-word,origin_n_show,origin_total_duration,origin_mean_duration,origin_median_duration,origin_total_vote_up,origin_mean_vote_up,origin_median_vote_up,origin_total_vote_down,origin_mean_vote_down,origin_median_vote_down,origin_n_gram,origin_n_char,origin_n_user,origin_n_diff_translation,origin_readibility,origin_mean_n_gram_translation,origin_mean_n_char_translation,origin_num_most_common_translation,origin_most_common_n_gram,origin_most_common_n_char,origin_word_entropy,translation_n_show,translation_total_duration,translation_mean_duration,translation_median_duration,translation_total_vote_up,translation_mean_vote_up,translation_median_vote_up,translation_total_vote_down,translation_mean_vote_down,translation_median_vote_down,translation_n_gram,translation_n_char,translation_n_user,is_top_translation,translation_lv_distance,translation_jaro_distance,manual_origin_source,manual_assessment
registered magnitude,magnitudo yang tercatat,8,246.243,30.780375,27.191,12,1.5,1.5,3,0.375,0,2,20,8,7,2,2.625,19.375,2,2,18,2.947702779,1,24.152,24.152,24.152,1,1,1,1,1,1,3,23,1,0,19,0.554874835,1,1
personal identity,identitas diri,22,221.22,10.05545455,8.667,42,1.909090909,2,1,0.045454545,0,2,17,22,4,2,2,16.5,13,2,17,1.545535422,4,54.733,13.68325,12.069,7,1.75,2,1,0.25,0,2,14,4,0,13,0.612978525,3,5
damage to energy generation facilities,kerusakan fasilitas pembangkit energi,14,758.793,54.1995,44.073,27,1.928571429,2,1,0.071428571,0,5,38,14,7,3,4.571428571,39.5,5,4,37,2.406666317,5,192.31,38.462,34.257,10,2,2,0,0,0,4,37,5,1,35,0.654612102,3,5
mechanism,cara pengerjaan,26,202.048,7.771076923,4.9875,49,1.884615385,2,1,0.038461538,0,1,9,26,4,1,1.076923077,9.5,23,1,9,0.698827219,1,8.907,8.907,8.907,0,0,0,1,1,1,2,15,1,0,14,0.487037037,3,5
braces,kawat gigi,12,257.103,21.42525,15.4585,16,1.333333333,1.5,7,0.583333333,0,1,6,12,5,0,1.583333333,8.416666667,7,2,10,1.78067213,7,149.839,21.40557143,14.345,8,1.142857143,1,5,0.714285714,1,2,10,7,1,9,0.422222222,2,4
flash floods,banjir lewat,10,104.885,10.4885,8.5165,18,1.8,2,2,0.2,0,2,12,10,6,0,2.2,14.5,5,2,14,2.160964047,1,8.344,8.344,8.344,2,2,2,0,0,0,2,12,1,0,11,0.5,3,5
effected hurricane,terdampak topan,18,418.215,23.23416667,18.7155,30,1.666666667,2,2,0.111111111,0,2,18,18,13,2,2.444444444,16.77777778,3,2,13,3.530493057,1,33.063,33.063,33.063,2,2,2,0,0,0,2,15,1,0,15,0.466666667,1,3
civilian assets,aset-aset sipil,20,443.591,22.17955,11.5275,35,1.75,2,2,0.1,0,2,15,20,8,2,2.15,12.4,12,2,10,2.070950594,1,6.933,6.933,6.933,2,2,2,0,0,0,2,15,1,0,14,0.563888889,,5
equipment and supplies,peralatan dan persediaan,12,316.918,26.40983333,15.208,22,1.833333333,2,1,0.083333333,0,3,22,12,5,2,3.083333333,25.16666667,4,3,27,2.188721876,2,28.072,14.036,14.036,4,2,2,0,0,0,3,24,2,0,19,0.597041847,3,5
social disruption,disrupsi sosial,15,261.369,17.4246,10.167,24,1.6,2,3,0.2,0,2,17,15,5,2,2,15.13333333,11,2,15,1.369974075,1,13.522,13.522,13.522,1,1,1,1,1,1,2,15,1,0,14,0.641948901,3,5
altercation,alterasi,21,514.792,24.51390476,16.648,37,1.761904762,2,1,0.047619048,0,1,11,21,8,1,1,11.23809524,13,1,12,2.006330931,1,3.623,3.623,3.623,1,1,1,0,0,0,1,8,1,0,4,0.837121212,3,4
commercial buildings,gedung komersial,19,212.18,11.16736842,8.128,36,1.894736842,2,1,0.052631579,0,2,20,19,4,2,2,18.15789474,13,2,18,1.294995075,1,12.445,12.445,12.445,2,2,2,0,0,0,2,16,1,0,18,0.541666667,3,5
vulnerability reduction,mereduksi kerentanan,16,372.174,23.260875,20.9815,28,1.75,2,3,0.1875,0,2,23,16,9,2,2.125,21.25,8,2,22,2.5,1,42.694,42.694,42.694,1,1,1,1,1,1,2,20,1,0,18,0.47826087,3,5
cash-for-work,modal kerja,10,151.377,15.1377,11.733,15,1.5,1.5,4,0.4,0,1,13,10,8,1,3.1,19.2,2,3,18,2.921928095,1,8.347,8.347,8.347,1,1,1,0,0,0,2,11,1,0,13,0.39005439,1,2
identified suspect,tersangka yang sudah teridentifikasi,16,382.506,23.906625,19.436,27,1.6875,2,1,0.0625,0,2,18,16,11,2,2.5625,25.625,4,3,30,3.202819531,1,57.976,57.976,57.976,2,2,2,0,0,0,4,36,1,0,30,0.540598291,3,5
tornado damage,bahaya angin tornado,18,357.408,19.856,13.215,32,1.777777778,2,1,0.055555556,0,2,14,18,12,1,2.944444444,22.27777778,7,2,17,3.078175865,1,19.538,19.538,19.538,2,2,2,0,0,0,3,20,1,0,17,0.521428571,1,3
community sectors,wilayah masyarakat,22,309.444,14.06563636,9.5315,37,1.681818182,2,3,0.136363636,0,2,17,22,8,2,2.045454545,17.5,8,2,16,2.384364143,1,22.867,22.867,22.867,0,0,0,1,1,1,2,18,1,0,17,0.457360722,3,1
authorities,"tanggung jawab, hak, wewenang",24,471.619,19.65079167,11.4455,39,1.625,2,6,0.25,0,1,11,24,9,1,1.375,11.04166667,7,1,8,2.755123044,1,15.348,15.348,15.348,2,2,2,0,0,0,4,29,1,0,25,0.475653083,3,4
registered magnitude,ukuran yang terdaftat,8,246.243,30.780375,27.191,12,1.5,1.5,3,0.375,0,2,20,8,7,2,2.625,19.375,2,2,18,2.947702779,1,41.141,41.141,41.141,1,1,1,1,1,1,3,21,1,0,20,0.525396825,1,3
deforestation,pembukaan lahan,13,292.712,22.51630769,19.127,23,1.769230769,2,2,0.153846154,0,1,13,13,6,1,1.923076923,16.38461538,8,2,18,1.854285872,1,19.127,19.127,19.127,1,1,1,1,1,1,2,15,1,0,13,0.476923077,3,2
lack of coordination,kurangnya kordinasi,30,476.713,15.89043333,12.003,55,1.833333333,2,2,0.066666667,0,3,20,30,10,1,2.033333333,18.6,11,2,17,2.554121502,1,20.337,20.337,20.337,2,2,2,0,0,0,2,19,1,0,13,0.558133971,3,5
schmutzdecke,lapisan kotor,8,331.338,41.41725,43.049,11,1.375,1.5,4,0.5,0.5,1,12,8,7,0,2.625,18.75,2,1,12,2.75,1,6.345,6.345,6.345,1,1,1,1,1,1,2,13,1,0,13,0.382478632,1,5
dwellings,berkutat,18,551.134,30.61855556,20.5935,35,1.944444444,2,1,0.055555556,0,1,9,18,5,0,1.722222222,12.5,13,2,14,1.386274094,1,11.632,11.632,11.632,1,1,1,1,1,1,1,8,1,0,8,0.412037037,,1
bombing victims,korban pengeboman,16,179.148,11.19675,8.8105,28,1.75,2,0,0,0,2,15,16,5,2,2,16.375,10,2,17,1.673794941,10,97.583,9.7583,7.64,19,1.9,2,0,0,0,2,17,10,1,13,0.473202614,3,5
digital learning modules,modul pembelajaran dijital,16,319.767,19.9854375,16.6415,28,1.75,2,2,0.125,0,3,24,16,7,3,3.0625,26.9375,10,3,26,1.923794941,1,17.688,17.688,17.688,2,2,2,0,0,0,3,26,1,0,22,0.600641026,3,5
non government organization (NGO),lembaga swadaya pemerintah,18,367.758,20.431,16.6815,33,1.833333333,2,2,0.111111111,0,4,33,18,9,1,3,26.16666667,5,3,25,,1,14.924,14.924,14.924,2,2,2,0,0,0,3,26,1,0,29,0.441724942,,5
dead missing,hilangnya korban tewas,8,276.646,34.58075,20.644,12,1.5,1.5,4,0.5,0.5,2,12,8,8,1,2.875,18.125,1,2,12,3,1,108.254,108.254,108.254,1,1,1,1,1,1,3,22,1,0,19,0.414646465,1,3
rapid health assessment,pengkajian ringkas kesehatan,16,429.866,26.866625,21.5115,28,1.75,2,3,0.1875,0,3,23,16,12,1,3.5625,28.375,3,4,30,3.572469459,1,28.739,28.739,28.739,1,1,1,0,0,0,3,28,1,0,22,0.630693582,3,5
business assets,kekayaan bisnis,16,150.769,9.4230625,6.79,30,1.875,2,0,0,0,2,15,16,5,1,1.9375,10.6875,11,2,11,1.496640762,1,29.725,29.725,29.725,2,2,2,0,0,0,2,15,1,0,12,0.488888889,3,3
toxins flood,penyebaran racun,14,357.491,25.53507143,18.649,23,1.642857143,2,4,0.285714286,0,2,12,14,9,1,2,13.28571429,5,2,14,2.835237745,1,31.503,31.503,31.503,2,2,2,0,0,0,2,16,1,0,15,0.430555556,1,3
Mission Disaster Relief Plan (MDRP),misi pemberian bantuan pada bencana,9,301.161,33.46233333,23.717,15,1.666666667,2,2,0.222222222,0,5,35,9,7,3,4.111111111,29.77777778,3,4,28,,1,58.295,58.295,58.295,2,2,2,0,0,0,5,35,1,0,29,0.597619048,,3
urgently,dengan mendesak,18,261.52,14.52888889,8.422,32,1.777777778,2,2,0.111111111,0,1,8,18,12,1,1.666666667,11.83333333,3,1,7,3.46132014,2,50.465,25.2325,25.2325,2,1,1,1,0.5,0.5,2,15,2,0,12,0.413888889,3,5
local knowledge,pengetahuan lokal,21,329.801,15.70480952,13.072,37,1.761904762,2,2,0.095238095,0,2,15,21,6,2,2,16.52380952,15,2,17,1.506443188,15,178.399,11.89326667,11.366,27,1.8,2,1,0.066666667,0,2,17,15,1,15,0.473202614,3,5
searched,sudah dicari,16,90.762,5.672625,4.789,31,1.9375,2,0,0,0,1,8,16,3,0,1.0625,6.8125,8,1,6,1.271782222,1,5.104,5.104,5.104,2,2,2,0,0,0,2,12,1,0,9,0.613888889,3,5
equitable,merata,16,291.732,18.23325,14.1855,31,1.9375,2,1,0.0625,0,1,9,16,6,1,1.0625,5.5625,9,1,4,1.919736718,1,10.107,10.107,10.107,2,2,2,0,0,0,1,6,1,0,7,0.5,3,5
flood hits,banjir menerjang,15,263.046,17.5364,12.201,27,1.8,2,2,0.133333333,0,2,10,15,12,0,2,14.66666667,3,2,14,3.577819531,1,8.417,8.417,8.417,2,2,2,0,0,0,2,16,1,0,15,0.275,1,3
subprime mortgage crisis,krisis kpr subprime,10,467.865,46.7865,36.0885,11,1.1,1,7,0.7,0.5,3,24,10,9,3,4.7,33.7,2,3,24,3.121928095,1,31.58,31.58,31.58,2,2,2,0,0,0,3,19,1,0,19,0.606725146,1,1
national authority for disaster management,otoritas nasional untuk manajemen bencana,17,365.299,21.48817647,17.455,28,1.647058824,2,3,0.176470588,0,5,42,17,8,4,4.764705882,40,8,5,41,2.395998871,8,147.157,18.394625,15.2005,15,1.875,2,1,0.125,0,5,41,8,1,34,0.712047522,3,5
clinical services,layanan klinik,14,255.22,18.23,13.386,25,1.785714286,2,1,0.071428571,0,2,17,14,5,2,2,13.85714286,10,2,14,1.43454914,1,10.859,10.859,10.859,2,2,2,0,0,0,2,14,1,0,13,0.542016807,3,5
switching facilities,penggantian fasilitas,17,471.068,27.70988235,16.402,29,1.705882353,2,2,0.117647059,0,2,20,17,15,2,2,18.52941176,2,2,17,3.852168724,1,36.004,36.004,36.004,2,2,2,0,0,0,2,21,1,0,13,0.612698413,1,5
nutrition-related morbidity,penyakit terkait gizi,13,505.841,38.91084615,24.538,21,1.615384615,2,2,0.153846154,0,2,27,13,11,2,3.846153846,29.38461538,3,3,26,3.334679141,1,36.067,36.067,36.067,2,2,2,0,0,0,3,21,1,0,21,0.597612264,3,3
land conservation,pelestarian alam,21,265.924,12.66304762,10.156,36,1.714285714,2,5,0.238095238,0,2,17,21,8,1,2,16.04761905,9,2,16,2.295217422,1,23.287,23.287,23.287,1,1,1,1,1,1,2,16,1,0,16,0.549155773,3,3
humanitarian agency,lembaga kemanusiaan,19,283.969,14.94573684,11.07,35,1.842105263,2,1,0.052631579,0,2,19,19,4,2,2,17.63157895,8,2,18,1.812945276,3,39.475,13.15833333,13.78,6,2,2,0,0,0,2,19,3,0,16,0.61754386,3,5
adversely affected,terdampak negatif,11,359.727,32.70245455,17.379,15,1.363636364,1,7,0.636363636,1,2,18,11,7,2,1.818181818,15.63636364,5,1,11,2.404009757,1,32.917,32.917,32.917,2,2,2,0,0,0,2,17,1,0,15,0.52832244,3,5
schools and nurseries,sekolahan dan klinik,15,482.067,32.1378,19.68,23,1.533333333,2,3,0.2,0,3,21,15,11,1,3.733333333,25.2,2,5,33,3.373557262,1,4.689,4.689,4.689,1,1,1,1,1,1,3,20,1,0,14,0.57005772,2,3
want help,meminta pertolongan,16,177.702,11.106375,9.043,29,1.8125,2,1,0.0625,0,2,9,16,8,0,2,16.6875,4,2,13,2.780639062,2,24.022,12.011,12.011,4,2,2,0,0,0,2,19,2,0,14,0.620161515,3,5
local markets,pasar dalam negeri,14,135.533,9.680928571,8.0415,23,1.642857143,2,3,0.214285714,0,2,13,14,5,2,2.071428571,13.57142857,8,2,11,1.753434386,1,9.548,9.548,9.548,1,1,1,1,1,1,3,18,1,0,14,0.547212047,3,3
earthquake-resistant construction,konstruksi tahan gempa,12,193.375,16.11458333,15.381,21,1.75,2,0,0,0,2,33,12,5,2,3.25,22.33333333,6,3,22,1.896240625,6,67.603,11.26716667,10.2985,11,1.833333333,2,0,0,0,3,22,6,1,26,0.578787879,3,5
dead torrential,banyak yang tewas,11,426.84,38.80363636,31.714,11,1,1,8,0.727272727,1,2,15,11,9,1,2.454545455,16.36363636,2,3,20,3.095795255,1,30.29,30.29,30.29,1,1,1,1,1,1,3,17,1,0,14,0.473202614,1,3
armed groups,kelompok bersenjata tajam,13,133.167,10.24361538,8.939,23,1.769230769,2,2,0.153846154,0,2,12,13,5,0,2.307692308,20.15384615,9,2,19,1.505876256,1,12.304,12.304,12.304,1,1,1,1,1,1,3,25,1,0,22,0.478253968,3,3
damage to life,kerusakan pada kehidupan,16,337.031,21.0644375,14.7035,28,1.75,2,3,0.1875,0,3,14,16,14,0,2.75,24.5625,2,2,22,3.852168724,1,16.103,16.103,16.103,2,2,2,0,0,0,3,24,1,0,20,0.501984127,3,5
multiple capacities,beberapa kapasitas,13,304.188,23.39907692,20.791,21,1.615384615,2,2,0.153846154,0,2,19,13,8,2,2.230769231,18.76923077,5,2,18,2.653544297,5,97.589,19.5178,18.837,7,1.4,1,2,0.4,0,2,18,5,1,12,0.509746589,3,5
utilities,penggunaan,14,264.247,18.87478571,13.783,26,1.857142857,2,0,0,0,1,9,14,7,1,1,9.285714286,5,1,9,2.54952346,2,22.902,11.451,11.451,4,2,2,0,0,0,1,10,2,0,10,0,2,3
grieves,berdukacita,17,230.316,13.548,11.159,28,1.647058824,2,3,0.176470588,0,1,7,17,9,0,1.294117647,8.705882353,4,2,12,3.05881389,1,56.41,56.41,56.41,2,2,2,0,0,0,1,11,1,0,10,0.322510823,3,5
people killed,korban meninggal dunia,19,301.091,15.84689474,11.282,32,1.684210526,2,3,0.157894737,0,2,13,19,12,0,2.473684211,17.78947368,3,2,14,3.431623566,1,11.282,11.282,11.282,2,2,2,0,0,0,3,22,1,0,18,0.571262071,3,5
specific programmatic actions,aksi terprogram spesifik,18,775.824,43.10133333,32.479,31,1.722222222,2,2,0.111111111,0,3,29,18,12,3,3.333333333,27.5,4,3,25,3.392147224,1,63.264,63.264,63.264,2,2,2,0,0,0,3,24,1,0,20,0.647199684,3,5
killed injured,pembunuh terluka,12,280.593,23.38275,13.7525,20,1.666666667,2,1,0.083333333,0,2,14,12,11,1,2.25,16.25,2,2,16,3.418295834,1,46.73,46.73,46.73,1,1,1,0,0,0,2,16,1,0,15,0.490079365,1,1
another explosion,ledakan yang lain,25,256.198,10.24792,7.405,46,1.84,2,0,0,0,2,17,25,5,1,2.12,14.04,10,2,15,1.796118214,3,39.438,13.146,8.847,6,2,2,0,0,0,3,17,3,0,15,0.464985994,3,5
responding,respon,19,229.745,12.09184211,8.708,34,1.789473684,2,1,0.052631579,0,1,10,19,4,1,1,8.947368421,9,1,10,1.606832278,1,6.369,6.369,6.369,1,1,1,0,0,0,1,6,1,0,4,0.866666667,3,5
alternative coping capacities,kapasitas alternatif,10,490.344,49.0344,30.5275,11,1.1,1,6,0.6,0.5,3,29,10,8,3,2.8,28.1,2,2,20,2.921928095,2,45.648,22.824,22.824,2,1,1,1,0.5,0.5,2,20,2,1,24,0.600191571,3,3
cautious,berhati-hati,23,384.887,16.73421739,14.148,42,1.826086957,2,0,0,0,1,8,23,8,1,1.217391304,9.52173913,13,1,7,2.138318311,3,34.638,11.546,13.207,6,2,2,0,0,0,1,12,3,0,10,0.541666667,,5
insurer,pengasuransi,19,299.181,15.74636842,14.286,37,1.947368421,2,0,0,0,1,7,19,10,1,1.526315789,12.68421053,6,1,8,2.905307776,1,6.514,6.514,6.514,2,2,2,0,0,0,1,12,1,0,8,0.576984127,3,5
functional standards,standar yang berfungsi,24,286.128,11.922,10.949,40,1.666666667,2,4,0.166666667,0,2,20,24,5,2,2.041666667,17.45833333,17,2,18,1.356342988,1,18.284,18.284,18.284,2,2,2,0,0,0,3,22,1,0,19,0.551515152,3,1
individual case management,penanganan kasus individu,16,409.594,25.599625,15.2215,32,2,2,0,0,0,3,26,16,11,2,3.0625,26.9375,3,3,24,3.327819531,1,18.967,18.967,18.967,2,2,2,0,0,0,3,25,1,0,21,0.508290598,3,5
climate driver,pengatur iklim,13,383.483,29.49869231,15.337,22,1.692307692,2,0,0,0,2,14,13,7,1,2,13.76923077,3,2,15,2.661226256,1,10.204,10.204,10.204,2,2,2,0,0,0,2,14,1,0,12,0.507936508,1,2
electric utilities,peralatan listrik,15,313.663,20.91086667,14.554,25,1.666666667,2,2,0.133333333,0,2,18,15,13,1,2.066666667,18.2,3,2,17,3.702819531,3,42.652,14.21733333,14.554,6,2,2,0,0,0,2,17,3,1,15,0.581263617,3,1
food assistance,"bantuan pangan, bantuan makanan",18,262.386,14.577,11.268,34,1.888888889,2,1,0.055555556,0,2,15,18,7,1,2.111111111,16.05555556,11,2,15,1.94471679,1,11.375,11.375,11.375,2,2,2,0,0,0,4,31,1,0,26,0.431541219,3,5
staple food stock,persediaan makanan pokok,15,343.654,22.91026667,15.625,29,1.933333333,2,1,0.066666667,0,3,17,15,5,1,3.066666667,21.33333333,7,3,18,1.8228156,5,120.984,24.1968,21.517,10,2,2,0,0,0,3,24,5,0,20,0.53496732,3,5
displacement site managers,pengelola wilayah pengungsian,8,243.998,30.49975,26.5275,16,2,2,0,0,0,3,26,8,7,2,3,27.375,2,3,28,2.75,1,31.295,31.295,31.295,3,3,3,0,0,0,3,29,1,0,25,0.555702918,3,5
education personnel,personal edukasi,18,577.408,32.07822222,22.4035,31,1.722222222,2,4,0.222222222,0,2,19,18,11,2,2,17.77777778,4,2,19,3.239097918,1,18.926,18.926,18.926,1,1,1,1,1,1,2,16,1,0,17,0.554354637,3,1
pray,doa,16,190.195,11.8871875,5.6955,28,1.75,2,0,0,0,1,4,16,3,0,1.125,6.8125,13,1,6,0.868392729,2,24.862,12.431,12.431,3,1.5,1.5,0,0,0,1,3,2,0,3,0.527777778,3,5
engineering technique,rekayasa teknologi,22,624.19,28.37227273,22.773,23,1.045454545,1,18,0.818181818,1,2,21,22,14,2,1.954545455,14,5,2,15,3.533771256,1,58.547,58.547,58.547,2,2,2,0,0,0,2,18,1,0,18,0.441798942,3,3
explosions running,ledakan yang terjadi,12,257.482,21.45683333,14.31,18,1.5,2,4,0.333333333,0,2,18,12,6,1,2.333333333,18,6,2,16,2.353533949,1,7.037,7.037,7.037,2,2,2,0,0,0,3,20,1,0,17,0.489814815,1,3
enforcement official,aparat penegak,14,346.708,24.76485714,21.778,24,1.714285714,2,2,0.142857143,0,2,20,14,8,2,2.571428571,18.85714286,6,3,21,2.556656707,1,9.856,9.856,9.856,2,2,2,0,0,0,2,14,1,0,16,0.521428571,3,4
facing flood,menjumpai banjir,18,286.828,15.93488889,13.229,35,1.944444444,2,1,0.055555556,0,2,12,18,6,0,2,17.05555556,13,2,17,1.497385205,1,20.652,20.652,20.652,2,2,2,0,0,0,2,16,1,0,15,0.444444444,1,3
monitoring of vulnerabilities,pemantauan kerentanan,11,275.249,25.02263636,16.811,20,1.818181818,2,1,0.090909091,0,3,29,11,8,2,2.272727273,23,3,2,21,2.845350937,3,52.738,17.57933333,12.039,5,1.666666667,2,0,0,0,2,21,3,1,24,0.550629447,3,5
prayers affected,doa berdampak,10,190.25,19.025,15.737,14,1.4,2,4,0.4,0,2,16,10,9,1,2.8,17.9,2,3,17,3.121928095,1,29.154,29.154,29.154,2,2,2,0,0,0,2,13,1,0,13,0.499038462,3,3
flood tornado,banjir tornado,16,316.166,19.760375,12.69,26,1.625,2,4,0.25,0,2,13,16,12,1,2.625,16.5,3,2,14,3.452819531,3,30.816,10.272,9.42,5,1.666666667,2,1,0.333333333,0,2,14,3,1,6,0.645604396,1,3
institutional roles,aturan secara institusi,21,260.231,12.39195238,10.232,36,1.714285714,2,3,0.142857143,0,2,19,21,12,1,2.047619048,17.71428571,4,2,19,3.308751351,1,10.983,10.983,10.983,1,1,1,1,1,1,3,23,1,0,21,0.595963152,3,1
long-term consequences,dampak jangka panjang,18,241.917,13.43983333,10.796,34,1.888888889,2,1,0.055555556,0,2,22,18,4,1,2.944444444,24.22222222,12,3,26,1.404678473,2,16.079,8.0395,8.0395,4,2,2,0,0,0,3,21,2,0,21,0.408369408,3,5
eternal gratitude,rasa syukur yang abadi,16,429.366,26.835375,23.923,27,1.6875,2,3,0.1875,0,2,17,16,12,2,3.375,21.125,3,3,17,3.405639062,3,72.529,24.17633333,23.586,6,2,2,0,0,0,4,22,3,0,19,0.580926916,3,5
international humanitarian law,hukum kemanusiaan internasional,14,318.771,22.76935714,16.0055,24,1.714285714,2,3,0.214285714,0,3,30,14,4,2,3.214285714,33.14285714,9,3,31,1.429911171,9,156.349,17.37211111,14.683,17,1.888888889,2,0,0,0,3,31,9,1,25,0.677973281,3,5
food-for-work,pangan untuk kerja,14,282.393,20.17092857,16.058,20,1.428571429,1.5,4,0.285714286,0,1,13,14,8,1,3,20.07142857,6,3,21,2.556656707,1,6.826,6.826,6.826,1,1,1,0,0,0,3,18,1,0,17,0.254985755,1,3
volcanic emissions,pancaran guncangan,20,427.152,21.3576,15.199,33,1.65,2,3,0.15,0,2,18,20,6,2,2.15,14.6,11,2,14,1.943751954,1,52.947,52.947,52.947,1,1,1,0,0,0,2,18,1,0,15,0.388888889,3,3
landmass,massa tanah,14,213.472,15.248,12.9085,25,1.785714286,2,2,0.142857143,0,1,8,14,3,1,1.214285714,7.928571429,11,1,7,0.946372936,2,18.552,9.276,9.276,2,1,1,1,0.5,0.5,2,11,2,0,9,0.559848485,3,1
child headed households,rumah tangga yang dikepalai anak,7,158.764,22.68057143,17.394,14,2,2,0,0,0,3,23,7,7,2,4.857142857,31.57142857,1,4,24,2.807354922,1,11.613,11.613,11.613,2,2,2,0,0,0,5,32,1,0,28,0.407608696,3,5
anguish,penderitaan berat,20,549.528,27.4764,20.003,36,1.8,2,2,0.1,0,1,7,20,8,1,1.2,9.2,8,1,6,2.441446071,1,51.396,51.396,51.396,1,1,1,1,1,1,2,17,1,0,15,0.467787115,3,5
displaced,dipindah,11,189.147,17.19518182,16.088,19,1.727272727,2,0,0,0,1,9,11,5,1,1,8.636363636,7,1,9,1.672933032,1,21.959,21.959,21.959,1,1,1,0,0,0,1,8,1,0,6,0.660185185,3,4
dry rations,rasio kering,9,208.567,23.17411111,14.167,11,1.222222222,1,4,0.444444444,0,2,11,9,8,1,2.333333333,16,2,2,14,3.121928095,1,9.204,9.204,9.204,1,1,1,0,0,0,2,12,1,0,10,0.644660895,3,1
reconnect power,menghubungkan kembali daya,17,440.786,25.92858824,18.041,24,1.411764706,2,7,0.411764706,0,2,15,17,14,1,3.117647059,26.23529412,3,3,27,3.690116518,1,21.767,21.767,21.767,2,2,2,0,0,0,3,26,1,0,22,0.441880342,1,5
seriously injured,cedera parah,20,226.273,11.31365,7.685,36,1.8,2,2,0.1,0,2,17,20,8,2,2,12.15,7,2,13,2.521127473,1,16.21,16.21,16.21,2,2,2,0,0,0,2,12,1,0,14,0.522875817,3,5
volcanic activity,aktivitas vulkanik,13,157.478,12.11369231,12.214,24,1.846153846,2,1,0.076923077,0,2,17,13,7,2,2.307692308,19.23076923,4,3,23,2.565448372,3,47.923,15.97433333,16.44,6,2,2,0,0,0,2,18,3,0,17,0.565359477,3,5
functioning safe spaces,tempat aman yang dapat dipakai,16,455.045,28.4403125,26.919,30,1.875,2,3,0.1875,0,3,23,16,14,2,3.8125,25.6875,3,4,26,3.702819531,1,84.781,84.781,84.781,2,2,2,0,0,0,5,30,1,0,21,0.422705314,1,3
